Date ZipCode Cases
200412 21215 137
200412 20904 132
200412 20906 126
200412 20902 125
200412 20744 122
200412 20706 120
200412 20772 115
200412 20774 113
200412 21234 109
200412 20747 108
200412 20735 103
200412 21771 101
200412 20785 98
200412 20783 97
200412 21133 97
200412 20743 91
200412 21206 89
200412 21208 89
200412 21703 88
200412 21117 87
200412 20910 84
200412 21224 84
200412 21701 83
200412 20748 82
200412 21702 80
200413 20601 38
200413 20602 48
200413 20603 68
200413 20607 23
200413 20613 40
200413 20622 10
200413 20623 11
200413 20637 10
200413 20639 22
200413 20640 11
200413 20646 26
200413 20650 9
200413 20653 23
200413 20657 14
200413 20659 23
200413 20678 18
200413 20695 18
200413 20705 81
200413 20706 143
200413 20707 60
200413 20708 47
200413 20710 23
200413 20711 9
200413 20712 20
200413 20714 8
200413 20715 46
200413 20716 46
200413 20720 53
200413 20721 85
200413 20722 18
200413 20723 62
200413 20724 39
200413 20732 12
200413 20735 112
200413 20736 9
200413 20737 49
200413 20740 35
200413 20743 97
200413 20744 132
200413 20745 70
200413 20746 69
200413 20747 115
200413 20748 88
200413 20754 9
200413 20769 20
200413 20770 46
200413 20772 124
200413 20774 120
200413 20781 31
200413 20782 83
200413 20783 102
200413 20784 85
200413 20785 103
200413 20794 42
200413 20814 53
200413 20815 50
200413 20816 20
200413 20817 50
200413 20832 24
200413 20841 17
200413 20850 44
200413 20851 17
200413 20852 66
200413 20853 54
200413 20854 68
200413 20855 18
200413 20866 26
200413 20871 20
200413 20872 11
200413 20874 74
200413 20876 45
200413 20877 61
200413 20878 58
200413 20879 35
200413 20882 18
200413 20886 45
200413 20895 31
200413 20901 81
200413 20902 135
200413 20903 56
200413 20904 137
200413 20905 21
200413 20906 134
200413 20910 92
200413 20912 44
200413 21009 14
200413 21012 39
200413 21014 17
200413 21015 23
200413 21029 11
200413 21030 32
200413 21032 15
200413 21037 24
200413 21040 30
200413 21042 26
200413 21043 47
200413 21044 58
200413 21045 58
200413 21046 20
200413 21050 13
200413 21054 29
200413 21060 43
200413 21061 54
200413 21074 9
200413 21075 46
200413 21076 38
200413 21085 12
200413 21090 17
200413 21093 41
200413 21104 9
200413 21108 20
200413 21113 24
200413 21114 34
200413 21117 93
200413 21122 61
200413 21128 16
200413 21131 8
200413 21133 101
200413 21136 37
200413 21144 33
200413 21146 28
200413 21157 42
200413 21158 40
200413 21201 18
200413 21202 35
200413 21204 20
200413 21205 19
200413 21206 96
200413 21207 76
200413 21208 106
200413 21209 64
200413 21210 8
200413 21211 14
200413 21212 26
200413 21213 48
200413 21214 43
200413 21215 153
200413 21216 40
200413 21217 39
200413 21218 71
200413 21219 9
200413 21220 41
200413 21221 39
200413 21222 61
200413 21223 24
200413 21224 90
200413 21225 45
200413 21227 40
200413 21228 52
200413 21229 65
200413 21230 41
200413 21231 30
200413 21234 118
200413 21236 46
200413 21237 45
200413 21239 66
200413 21244 76
200413 21286 28
200413 21401 52
200413 21403 29
200413 21409 16
200413 21502 11
200413 21601 12
200413 21620 9
200413 21632 9
200413 21701 95
200413 21702 87
200413 21703 106
200413 21704 26
200413 21740 43
200413 21742 22
200413 21770 8
200413 21771 103
200413 21774 20
200413 21784 28
200413 21788 10
200413 21793 8
200413 21797 14
200413 21801 19
200413 21804 19
200413 21811 10
200413 21911 21
200413 21921 38
200414 20601 41
200414 20602 51
200414 20603 75
200414 20607 23
200414 20613 43
200414 20622 9
200414 20623 12
200414 20634 8
200414 20637 10
200414 20639 23
200414 20640 11
200414 20646 30
200414 20650 10
200414 20653 23
200414 20657 15
200414 20659 23
200414 20678 21
200414 20695 19
200414 20705 86
200414 20706 153
200414 20707 67
200414 20708 51
200414 20710 28
200414 20711 10
200414 20712 21
200414 20714 8
200414 20715 47
200414 20716 49
200414 20720 56
200414 20721 90
200414 20722 20
200414 20723 64
200414 20724 40
200414 20732 12
200414 20735 116
200414 20736 9
200414 20737 52
200414 20740 39
200414 20743 102
200414 20744 135
200414 20745 71
200414 20746 72
200414 20747 121
200414 20748 92
200414 20754 10
200414 20769 22
200414 20770 52
200414 20772 132
200414 20774 124
200414 20781 31
200414 20782 86
200414 20783 111
200414 20784 98
200414 20785 112
200414 20794 46
200414 20814 54
200414 20815 52
200414 20816 21
200414 20817 51
200414 20832 25
200414 20833 8
200414 20841 17
200414 20850 47
200414 20851 18
200414 20852 68
200414 20853 56
200414 20854 70
200414 20855 19
200414 20866 29
200414 20871 21
200414 20872 13
200414 20874 80
200414 20876 47
200414 20877 70
200414 20878 60
200414 20879 40
200414 20882 18
200414 20886 46
200414 20895 32
200414 20901 90
200414 20902 141
200414 20903 59
200414 20904 154
200414 20905 23
200414 20906 142
200414 20910 97
200414 20912 46
200414 21009 14
200414 21012 52
200414 21014 17
200414 21015 24
200414 21029 11
200414 21030 32
200414 21032 15
200414 21037 24
200414 21040 32
200414 21042 28
200414 21043 51
200414 21044 59
200414 21045 64
200414 21046 20
200414 21050 13
200414 21054 32
200414 21060 45
200414 21061 63
200414 21074 9
200414 21075 52
200414 21076 39
200414 21085 13
200414 21090 19
200414 21093 42
200414 21104 9
200414 21108 21
200414 21113 25
200414 21114 36
200414 21117 95
200414 21122 61
200414 21128 16
200414 21131 10
200414 21133 103
200414 21136 40
200414 21144 38
200414 21146 29
200414 21157 43
200414 21158 40
200414 21201 19
200414 21202 37
200414 21204 23
200414 21205 20
200414 21206 98
200414 21207 79
200414 21208 108
200414 21209 64
200414 21210 8
200414 21211 14
200414 21212 28
200414 21213 52
200414 21214 45
200414 21215 155
200414 21216 44
200414 21217 42
200414 21218 77
200414 21219 10
200414 21220 46
200414 21221 41
200414 21222 63
200414 21223 25
200414 21224 91
200414 21225 49
200414 21227 45
200414 21228 53
200414 21229 71
200414 21230 43
200414 21231 30
200414 21234 121
200414 21236 47
200414 21237 48
200414 21239 71
200414 21244 78
200414 21286 28
200414 21401 56
200414 21403 30
200414 21409 17
200414 21502 11
200414 21601 12
200414 21613 8
200414 21620 9
200414 21632 9
200414 21701 99
200414 21702 96
200414 21703 110
200414 21704 27
200414 21740 46
200414 21742 22
200414 21770 8
200414 21771 106
200414 21774 21
200414 21784 29
200414 21788 11
200414 21793 8
200414 21797 14
200414 21801 22
200414 21804 23
200414 21811 10
200414 21911 21
200414 21921 40
200415 20601 43
200415 20602 57
200415 20603 79
200415 20607 25
200415 20613 43
200415 20622 9
200415 20623 14
200415 20634 8
200415 20637 10
200415 20639 24
200415 20640 11
200415 20646 31
200415 20650 10
200415 20653 24
200415 20657 15
200415 20659 23
200415 20678 23
200415 20695 21
200415 20705 86
200415 20706 162
200415 20707 73
200415 20708 56
200415 20710 28
200415 20711 10
200415 20712 26
200415 20714 8
200415 20715 52
200415 20716 56
200415 20720 56
200415 20721 96
200415 20722 22
200415 20723 64
200415 20724 40
200415 20732 12
200415 20735 120
200415 20736 9
200415 20737 55
200415 20740 41
200415 20743 106
200415 20744 139
200415 20745 75
200415 20746 76
200415 20747 126
200415 20748 99
200415 20754 10
200415 20769 25
200415 20770 56
200415 20772 137
200415 20774 131
200415 20781 32
200415 20782 93
200415 20783 127
200415 20784 102
200415 20785 117
200415 20794 53
200415 20814 55
200415 20815 53
200415 20816 21
200415 20817 52
200415 20832 28
200415 20833 8
200415 20841 17
200415 20850 49
200415 20851 19
200415 20852 68
200415 20853 57
200415 20854 73
200415 20855 19
200415 20866 31
200415 20871 21
200415 20872 13
200415 20874 83
200415 20876 47
200415 20877 71
200415 20878 63
200415 20879 44
200415 20882 18
200415 20886 50
200415 20895 33
200415 20901 94
200415 20902 147
200415 20903 65
200415 20904 164
200415 20905 26
200415 20906 153
200415 20910 98
200415 20912 54
200415 21001 8
200415 21009 16
200415 21012 54
