Date 0-9 10-19 20-29 30-39 40-49 50-59 60-69 70-79 80+ 0-18 19-64 65+ Female Male
200317 NA NA NA NA NA NA NA NA NA NA 37 20 NA NA
200318 NA NA NA NA NA NA NA NA NA NA 60 25 NA NA
200319 NA NA NA NA NA NA NA NA NA 1 76 30 NA NA
200320 NA NA NA NA NA NA NA NA NA 3 111 35 NA NA
200321 NA NA NA NA NA NA NA NA NA 3 149 38 NA NA
200322 NA NA NA NA NA NA NA NA NA 3 200 41 NA NA
200323 NA NA NA NA NA NA NA NA NA 3 236 49 NA NA
200324 NA NA NA NA NA NA NA NA NA 4 283 62 NA NA
200325 NA NA NA NA NA NA NA NA NA 5 335 83 NA NA
200326 NA NA NA NA NA NA NA NA NA 6 461 113 282 298
200327 4 11 107 136 161 149 110 75 21 NA NA NA 382 392
200328 5 15 138 174 204 195 143 91 27 NA NA NA 487 505
200329 4 21 165 203 241 243 191 117 54 NA NA NA 634 605
200330 5 27 188 247 262 274 219 139 52 NA NA NA 716 697
200331 6 32 215 290 304 335 260 157 61 NA NA NA 856 804
200401 6 39 252 345 372 396 309 187 79 NA NA NA 1016 969
200402 9 46 286 410 437 471 357 217 98 NA NA NA 1194 1137
200403 9 55 335 485 509 552 423 266 124 NA NA NA 1435 1323
200404 13 65 379 557 575 625 473 299 139 NA NA NA 1640 1485
200405 16 69 422 638 666 736 546 354 162 NA NA NA 1915 1694
200406 16 76 469 718 737 825 597 407 200 NA NA NA 2155 1890
200407 21 82 505 773 795 891 643 445 216 NA NA NA 2329 2042
200408 27 109 625 968 1015 1135 833 550 267 NA NA NA 2955 2574
