Date AgeGroup CountType Count
200327 0-9 PosTests 4
200327 0-9 Deaths NA
200327 10-19 PosTests 11
200327 10-19 Deaths NA
200327 20-29 PosTests 107
200327 20-29 Deaths NA
200327 30-39 PosTests 136
200327 30-39 Deaths NA
200327 40-49 PosTests 161
200327 40-49 Deaths NA
200327 50-59 PosTests 149
200327 50-59 Deaths NA
200327 60-69 PosTests 110
200327 60-69 Deaths NA
200327 70-79 PosTests 75
200327 70-79 Deaths NA
200327 80+ PosTests 21
200327 80+ Deaths NA
200328 0-9 PosTests 5
200328 0-9 Deaths NA
200328 10-19 PosTests 15
200328 10-19 Deaths NA
200328 20-29 PosTests 138
200328 20-29 Deaths NA
200328 30-39 PosTests 174
200328 30-39 Deaths NA
200328 40-49 PosTests 204
200328 40-49 Deaths NA
200328 50-59 PosTests 195
200328 50-59 Deaths NA
200328 60-69 PosTests 143
200328 60-69 Deaths NA
200328 70-79 PosTests 91
200328 70-79 Deaths NA
200328 80+ PosTests 27
200328 80+ Deaths NA
200329 0-9 PosTests 4
200329 0-9 Deaths NA
200329 10-19 PosTests 21
200329 10-19 Deaths NA
200329 20-29 PosTests 165
200329 20-29 Deaths NA
200329 30-39 PosTests 203
200329 30-39 Deaths NA
200329 40-49 PosTests 241
200329 40-49 Deaths NA
200329 50-59 PosTests 243
200329 50-59 Deaths NA
200329 60-69 PosTests 191
200329 60-69 Deaths NA
200329 70-79 PosTests 117
200329 70-79 Deaths NA
200329 80+ PosTests 54
200329 80+ Deaths NA
200330 0-9 PosTests 5
200330 0-9 Deaths NA
200330 10-19 PosTests 27
200330 10-19 Deaths NA
200330 20-29 PosTests 188
200330 20-29 Deaths NA
200330 30-39 PosTests 247
200330 30-39 Deaths NA
200330 40-49 PosTests 262
200330 40-49 Deaths NA
200330 50-59 PosTests 274
200330 50-59 Deaths NA
200330 60-69 PosTests 219
200330 60-69 Deaths NA
200330 70-79 PosTests 139
200330 70-79 Deaths NA
200330 80+ PosTests 52
200330 80+ Deaths NA
200331 0-9 PosTests 6
200331 0-9 Deaths NA
200331 10-19 PosTests 32
200331 10-19 Deaths NA
200331 20-29 PosTests 215
200331 20-29 Deaths NA
200331 30-39 PosTests 290
200331 30-39 Deaths NA
200331 40-49 PosTests 310
200331 40-49 Deaths NA
200331 50-59 PosTests 335
200331 50-59 Deaths NA
200331 60-69 PosTests 260
200331 60-69 Deaths NA
200331 70-79 PosTests 157
200331 70-79 Deaths NA
200331 80+ PosTests 61
200331 80+ Deaths NA
200401 0-9 PosTests 6
200401 0-9 Deaths NA
200401 10-19 PosTests 39
200401 10-19 Deaths NA
200401 20-29 PosTests 252
200401 20-29 Deaths NA
200401 30-39 PosTests 345
200401 30-39 Deaths NA
200401 40-49 PosTests 372
200401 40-49 Deaths NA
200401 50-59 PosTests 396
200401 50-59 Deaths NA
200401 60-69 PosTests 309
200401 60-69 Deaths NA
200401 70-79 PosTests 187
200401 70-79 Deaths NA
200401 80+ PosTests 79
200401 80+ Deaths NA
200402 0-9 PosTests 9
200402 0-9 Deaths NA
200402 10-19 PosTests 46
200402 10-19 Deaths NA
200402 20-29 PosTests 286
200402 20-29 Deaths NA
200402 30-39 PosTests 410
200402 30-39 Deaths NA
200402 40-49 PosTests 437
200402 40-49 Deaths NA
200402 50-59 PosTests 471
200402 50-59 Deaths NA
200402 60-69 PosTests 357
200402 60-69 Deaths NA
200402 70-79 PosTests 217
200402 70-79 Deaths NA
200402 80+ PosTests 98
200402 80+ Deaths NA
200403 0-9 PosTests 9
200403 0-9 Deaths NA
200403 10-19 PosTests 55
200403 10-19 Deaths NA
200403 20-29 PosTests 335
200403 20-29 Deaths NA
200403 30-39 PosTests 485
200403 30-39 Deaths NA
200403 40-49 PosTests 509
200403 40-49 Deaths NA
200403 50-59 PosTests 552
200403 50-59 Deaths NA
200403 60-69 PosTests 423
200403 60-69 Deaths NA
200403 70-79 PosTests 266
200403 70-79 Deaths NA
200403 80+ PosTests 124
200403 80+ Deaths NA
200404 0-9 PosTests 13
200404 0-9 Deaths NA
200404 10-19 PosTests 65
200404 10-19 Deaths NA
200404 20-29 PosTests 379
200404 20-29 Deaths NA
200404 30-39 PosTests 557
200404 30-39 Deaths NA
200404 40-49 PosTests 575
200404 40-49 Deaths NA
200404 50-59 PosTests 625
200404 50-59 Deaths NA
200404 60-69 PosTests 473
200404 60-69 Deaths NA
200404 70-79 PosTests 299
200404 70-79 Deaths NA
200404 80+ PosTests 139
200404 80+ Deaths NA
200405 0-9 PosTests 16
200405 0-9 Deaths NA
200405 10-19 PosTests 69
200405 10-19 Deaths NA
200405 20-29 PosTests 422
200405 20-29 Deaths NA
200405 30-39 PosTests 638
200405 30-39 Deaths NA
200405 40-49 PosTests 666
200405 40-49 Deaths NA
200405 50-59 PosTests 736
200405 50-59 Deaths NA
200405 60-69 PosTests 546
200405 60-69 Deaths NA
200405 70-79 PosTests 354
200405 70-79 Deaths NA
200405 80+ PosTests 162
200405 80+ Deaths NA
200406 0-9 PosTests 16
200406 0-9 Deaths NA
200406 10-19 PosTests 76
200406 10-19 Deaths NA
200406 20-29 PosTests 469
200406 20-29 Deaths NA
200406 30-39 PosTests 718
200406 30-39 Deaths NA
200406 40-49 PosTests 737
200406 40-49 Deaths NA
200406 50-59 PosTests 825
200406 50-59 Deaths NA
200406 60-69 PosTests 597
200406 60-69 Deaths NA
200406 70-79 PosTests 407
200406 70-79 Deaths NA
200406 80+ PosTests 200
200406 80+ Deaths NA
200407 0-9 PosTests 21
200407 0-9 Deaths NA
200407 10-19 PosTests 82
200407 10-19 Deaths NA
200407 20-29 PosTests 505
200407 20-29 Deaths NA
200407 30-39 PosTests 773
200407 30-39 Deaths NA
200407 40-49 PosTests 795
200407 40-49 Deaths NA
200407 50-59 PosTests 891
200407 50-59 Deaths NA
200407 60-69 PosTests 643
200407 60-69 Deaths NA
200407 70-79 PosTests 445
200407 70-79 Deaths NA
200407 80+ PosTests 216
200407 80+ Deaths NA
200408 0-9 PosTests 27
200408 0-9 Deaths NA
200408 10-19 PosTests 109
200408 10-19 Deaths NA
200408 20-29 PosTests 625
200408 20-29 Deaths NA
200408 30-39 PosTests 968
200408 30-39 Deaths NA
200408 40-49 PosTests 1015
200408 40-49 Deaths NA
200408 50-59 PosTests 1135
200408 50-59 Deaths NA
200408 60-69 PosTests 833
200408 60-69 Deaths NA
200408 70-79 PosTests 550
200408 70-79 Deaths NA
200408 80+ PosTests 267
200408 80+ Deaths NA
200409 0-9 PosTests 33
200409 0-9 Deaths NA
200409 10-19 PosTests 127
200409 10-19 Deaths NA
200409 20-29 PosTests 701
200409 20-29 Deaths NA
200409 30-39 PosTests 1076
200409 30-39 Deaths 4
200409 40-49 PosTests 1145
200409 40-49 Deaths 4
200409 50-59 PosTests 1282
200409 50-59 Deaths 16
200409 60-69 PosTests 913
200409 60-69 Deaths 28
200409 70-79 PosTests 600
200409 70-79 Deaths 43
200409 80+ PosTests 308
200409 80+ Deaths 43
200410 0-9 PosTests 36
200410 0-9 Deaths NA
200410 10-19 PosTests 146
200410 10-19 Deaths NA
200410 20-29 PosTests 772
200410 20-29 Deaths NA
200410 30-39 PosTests 1205
200410 30-39 Deaths 5
200410 40-49 PosTests 1281
200410 40-49 Deaths 5
200410 50-59 PosTests 1421
200410 50-59 Deaths 20
200410 60-69 PosTests 1051
200410 60-69 Deaths 32
200410 70-79 PosTests 685
200410 70-79 Deaths 51
200410 80+ PosTests 371
200410 80+ Deaths 58
200411 0-9 PosTests 45
200411 0-9 Deaths NA
200411 10-19 PosTests 162
200411 10-19 Deaths NA
200411 20-29 PosTests 855
200411 20-29 Deaths 1
200411 30-39 PosTests 1317
200411 30-39 Deaths 8
200411 40-49 PosTests 1413
200411 40-49 Deaths 5
200411 50-59 PosTests 1565
200411 50-59 Deaths 22
200411 60-69 PosTests 1141
200411 60-69 Deaths 42
200411 70-79 PosTests 757
200411 70-79 Deaths 57
200411 80+ PosTests 439
200411 80+ Deaths 71
200412 0-9 PosTests 52
200412 0-9 Deaths NA
200412 10-19 PosTests 172
200412 10-19 Deaths NA
200412 20-29 PosTests 906
200412 20-29 Deaths 1
200412 30-39 PosTests 1390
200412 30-39 Deaths 9
200412 40-49 PosTests 1504
200412 40-49 Deaths 5
200412 50-59 PosTests 1675
200412 50-59 Deaths 25
200412 60-69 PosTests 1212
200412 60-69 Deaths 51
200412 70-79 PosTests 816
200412 70-79 Deaths 65
200412 80+ PosTests 498
200412 80+ Deaths 79
200413 0-9 PosTests 63
200413 0-9 Deaths NA
200413 10-19 PosTests 190
200413 10-19 Deaths NA
200413 20-29 PosTests 970
200413 20-29 Deaths 1
200413 30-39 PosTests 1511
200413 30-39 Deaths 9
200413 40-49 PosTests 1637
200413 40-49 Deaths 5
200413 50-59 PosTests 1801
200413 50-59 Deaths 26
200413 60-69 PosTests 1317
200413 60-69 Deaths 58
200413 70-79 PosTests 877
200413 70-79 Deaths 73
200413 80+ PosTests 570
200413 80+ Deaths 90
200414 0-9 PosTests 70
200414 0-9 Deaths NA
200414 10-19 PosTests 199
200414 10-19 Deaths NA
200414 20-29 PosTests 1030
200414 20-29 Deaths 1
200414 30-39 PosTests 1603
200414 30-39 Deaths 11
200414 40-49 PosTests 1740
200414 40-49 Deaths 6
200414 50-59 PosTests 1902
200414 50-59 Deaths 29
200414 60-69 PosTests 1389
200414 60-69 Deaths 69
200414 70-79 PosTests 935
200414 70-79 Deaths 83
200414 80+ PosTests 604
200414 80+ Deaths 103
200415 0-9 PosTests 74
200415 0-9 Deaths NA
200415 10-19 PosTests 204
200415 10-19 Deaths NA
200415 20-29 PosTests 1089
200415 20-29 Deaths 1
200415 30-39 PosTests 1670
200415 30-39 Deaths 5
200415 40-49 PosTests 1808
200415 40-49 Deaths 5
200415 50-59 PosTests 2005
200415 50-59 Deaths 18
200415 50-59 PDeaths 3
200415 60-69 PosTests 1474
200415 60-69 Deaths 53
200415 60-69 PDeaths 9
200415 70-79 PosTests 1010
200415 70-79 Deaths 71
200415 70-79 PDeaths 12
200415 80+ PosTests 698
200415 80+ Deaths 107
200415 80+ PDeaths 26
200415 DnA Deaths 89
200415 DnA PDeaths 14
200416 0-9 PosTests 86
200416 0-9 Deaths NA
200416 10-19 PosTests 231
200416 10-19 Deaths NA
200416 20-29 PosTests 1162
200416 20-29 Deaths 2
200416 30-39 PosTests 1784
200416 30-39 Deaths 6
200416 40-49 PosTests 1951
200416 40-49 Deaths 6
200416 50-59 PosTests 2138
200416 50-59 Deaths 23
200416 50-59 PDeaths 3
200416 60-69 PosTests 1602
200416 60-69 Deaths 61
200416 60-69 PDeaths 9
200416 70-79 PosTests 1065
200416 70-79 Deaths 77
200416 70-79 PDeaths 12
200416 80+ PosTests 765
200416 80+ Deaths 123
200416 80+ PDeaths 30
200416 DnA Deaths 94
200416 DnA PDeaths 13
200417 0-9 PosTests 86
200417 0-9 Deaths NA
200417 10-19 PosTests 242
200417 10-19 Deaths NA
200417 20-29 PosTests 1227
200417 20-29 Deaths 2
200417 30-39 PosTests 1882
200417 30-39 Deaths 8
200417 40-49 PosTests 2088
200417 40-49 Deaths 7
200417 50-59 PosTests 2287
200417 50-59 Deaths 24
200417 50-59 PDeaths 3
200417 60-69 PosTests 1710
200417 60-69 Deaths 68
200417 60-69 PDeaths 9
200417 70-79 PosTests 1171
200417 70-79 Deaths 87
200417 70-79 PDeaths 13
200417 80+ PosTests 879
200417 80+ Deaths 141
200417 80+ PDeaths 33
200417 DnA Deaths 88
200417 DnA PDeaths 11
200418 0-9 PosTests 89
200418 0-9 Deaths NA
200418 10-19 PosTests 254
200418 10-19 Deaths NA
200418 20-29 PosTests 1311
200418 20-29 Deaths 2
200418 30-39 PosTests 2010
200418 30-39 Deaths 8
200418 40-49 PosTests 2215
200418 40-49 Deaths 9
200418 50-59 PosTests 2399
200418 50-59 Deaths 24
200418 50-59 PDeaths 4
200418 60-69 PosTests 1831
200418 60-69 Deaths 72
200418 60-69 PDeaths 12
200418 70-79 PosTests 1253
200418 70-79 Deaths 93
200418 70-79 PDeaths 11
200418 80+ PosTests 946
200418 80+ Deaths 153
200418 80+ PDeaths 33
200418 DnA Deaths 102
200418 DnA PDeaths 11
200419 0-9 PosTests 93
200419 0-9 Deaths NA
200419 10-19 PosTests 277
200419 10-19 Deaths NA
200419 20-29 PosTests 1391
200419 20-29 Deaths 2
200419 30-39 PosTests 2100
200419 30-39 Deaths 12
200419 40-49 PosTests 2312
200419 40-49 Deaths 10
200419 50-59 PosTests 2492
200419 50-59 Deaths 30
200419 50-59 PDeaths 5
200419 60-69 PosTests 1898
200419 60-69 Deaths 78
200419 60-69 PDeaths 10
200419 70-79 PosTests 1286
200419 70-79 Deaths 109
200419 70-79 PDeaths 10
200419 80+ PosTests 981
200419 80+ Deaths 169
200419 80+ PDeaths 27
200419 DnA Deaths 76
200419 DnA PDeaths 10
200420 0-9 PosTests 108
200420 0-9 Deaths NA
200420 10-19 PosTests 300
200420 10-19 Deaths NA
200420 20-29 PosTests 1488
200420 20-29 Deaths 2
200420 30-39 PosTests 2245
200420 30-39 Deaths 12
200420 40-49 PosTests 2442
200420 40-49 Deaths 10
200420 40-49 PDeaths 1
200420 50-59 PosTests 2632
200420 50-59 Deaths 33
200420 50-59 PDeaths 5
200420 60-69 PosTests 2015
200420 60-69 Deaths 80
200420 60-69 PDeaths 11
200420 70-79 PosTests 1385
200420 70-79 Deaths 115
200420 70-79 PDeaths 10
200420 80+ PosTests 1069
200420 80+ Deaths 185
200420 80+ PDeaths 29
200420 DnA Deaths 79
200420 DnA PDeaths 10
200421 0-9 PosTests 118
200421 0-9 Deaths NA
200421 10-19 PosTests 318
200421 10-19 Deaths NA
200421 20-29 PosTests 1543
200421 20-29 Deaths 2
200421 30-39 PosTests 2329
200421 30-39 Deaths 11
200421 40-49 PosTests 2539
200421 40-49 Deaths 12
200421 40-49 PDeaths 1
200421 50-59 PosTests 2712
200421 50-59 Deaths 34
200421 50-59 PDeaths 5
200421 60-69 PosTests 2083
200421 60-69 Deaths 84
200421 60-69 PDeaths 10
200421 70-79 PosTests 1432
200421 70-79 Deaths 135
200421 70-79 PDeaths 9
200421 80+ PosTests 1119
200421 80+ Deaths 201
200421 80+ PDeaths 31
200421 DnA Deaths 105
200421 DnA PDeaths 12
200422 0-9 PosTests 132
200422 0-9 Deaths NA
200422 10-19 PosTests 337
200422 10-19 Deaths NA
200422 20-29 PosTests 1595
200422 20-29 Deaths 2
200422 30-39 PosTests 2415
200422 30-39 Deaths 12
200422 30-39 PDeaths 1
200422 40-49 PosTests 2611
200422 40-49 Deaths 12
200422 40-49 PDeaths 1
200422 50-59 PosTests 2805
200422 50-59 Deaths 39
200422 50-59 PDeaths 5
200422 60-69 PosTests 2156
200422 60-69 Deaths 90
200422 60-69 PDeaths 8
200422 70-79 PosTests 1512
200422 70-79 Deaths 150
200422 70-79 PDeaths 10
200422 80+ PosTests 1212
200422 80+ Deaths 228
200422 80+ PDeaths 34
200422 DnA Deaths 98
200422 DnA PDeaths 8
200423 0-9 PosTests 152
200423 0-9 Deaths NA
200423 10-19 PosTests 369
200423 10-19 Deaths NA
200423 20-29 PosTests 1708
200423 20-29 Deaths 3
200423 30-39 PosTests 2604
200423 30-39 Deaths 12
200423 30-39 PDeaths 1
200423 40-49 PosTests 2786
200423 40-49 Deaths 15
200423 40-49 PDeaths 2
200423 50-59 PosTests 2960
200423 50-59 Deaths 43
200423 50-59 PDeaths 5
200423 60-69 PosTests 2269
200423 60-69 Deaths 93
200423 60-69 PDeaths 8
200423 70-79 PosTests 1593
200423 70-79 Deaths 167
200423 70-79 PDeaths 10
200423 80+ PosTests 1296
200423 80+ Deaths 247
200423 80+ PDeaths 37
200423 DnA Deaths 100
200423 DnA PDeaths 5
200424 0-9 PosTests 164
200424 0-9 Deaths NA
200424 10-19 PosTests 395
200424 10-19 Deaths NA
200424 20-29 PosTests 1833
200424 20-29 Deaths 3
200424 30-39 PosTests 2757
200424 30-39 Deaths 13
200424 30-39 PDeaths 1
200424 40-49 PosTests 2931
200424 40-49 Deaths 17
200424 40-49 PDeaths 2
200424 50-59 PosTests 3094
200424 50-59 Deaths 46
200424 50-59 PDeaths 5
200424 60-69 PosTests 2383
200424 60-69 Deaths 102
200424 60-69 PDeaths 8
200424 70-79 PosTests 1680
200424 70-79 Deaths 174
200424 70-79 PDeaths 11
200424 80+ PosTests 1379
200424 80+ Deaths 267
200424 80+ PDeaths 39
200424 DnA Deaths 101
200424 DnA PDeaths 9
200425 0-9 PosTests 189
200425 0-9 Deaths NA
200425 10-19 PosTests 441
200425 10-19 Deaths NA
200425 20-29 PosTests 1982
200425 20-29 Deaths 4
200425 30-39 PosTests 2963
200425 30-39 Deaths 12
200425 30-39 PDeaths 1
200425 40-49 PosTests 3155
200425 40-49 Deaths 18
200425 40-49 PDeaths 1
200425 50-59 PosTests 3288
200425 50-59 Deaths 54
200425 50-59 PDeaths 5
200425 60-69 PosTests 2548
200425 60-69 Deaths 113
200425 60-69 PDeaths 9
200425 70-79 PosTests 1766
200425 70-79 Deaths 183
200425 70-79 PDeaths 12
200425 80+ PosTests 1434
200425 80+ Deaths 298
200425 80+ PDeaths 40
200425 DnA Deaths 115
200425 DnA PDeaths 9
200426 0-9 PosTests 212
200426 0-9 Deaths NA
200426 10-19 PosTests 463
200426 10-19 Deaths NA
200426 20-29 PosTests 2097
200426 20-29 Deaths 4
200426 30-39 PosTests 3109
200426 30-39 Deaths 12
200426 30-39 PDeaths 1
200426 40-49 PosTests 3270
200426 40-49 Deaths 18
200426 40-49 PDeaths 2
200426 50-59 PosTests 3414
200426 50-59 Deaths 54
200426 50-59 PDeaths 5
200426 60-69 PosTests 2651
200426 60-69 Deaths 117
200426 60-69 PDeaths 9
200426 70-79 PosTests 1837
200426 70-79 Deaths 185
200426 70-79 PDeaths 12
200426 80+ PosTests 1528
200426 80+ Deaths 305
200426 80+ PDeaths 41
200426 DnA Deaths 132
200426 DnA PDeaths 13
