Date Allegany AnneArundel BaltimoreCity BaltimoreCounty Calvert Caroline Carroll Cecil Charles Dorchester Frederick Garrett Harford Howard Kent PrinceGeorges Montgomery QueenAnne Somerset StMary Talbot Washington Wicomico Worcester DnA
200315 NA 2 1 3 NA NA 1 NA 1 NA NA NA 2 NA NA 9 12 NA NA NA NA NA NA NA NA
200316 NA 1 1 4 NA NA 1 NA 1 NA NA NA 2 1 NA 10 15 NA NA NA 1 NA NA NA NA
200317 NA 3 1 6 NA NA 1 NA 1 NA 1 NA 2 3 NA 14 24 NA NA NA 1 NA NA NA NA
200318 NA 4 4 10 NA NA 1 NA 2 NA 1 NA 3 8 NA 20 31 NA NA NA 1 NA NA NA NA
200319 NA 5 8 12 1 NA 2 NA 2 NA 1 NA 3 16 NA 23 33 NA NA NA 1 NA NA NA NA
200320 NA 10 11 13 1 NA 3 NA 2 NA 1 NA 5 18 NA 31 51 NA NA NA 1 NA 1 1 NA
200321 NA 15 15 19 1 NA 3 NA 4 NA 1 NA 5 19 NA 36 68 NA NA NA 1 NA 2 1 NA
200322 NA 18 24 28 2 1 4 1 5 NA 1 NA 5 24 NA 40 83 NA 1 1 1 1 2 2 NA
200323 NA 20 31 35 2 1 5 1 5 NA 2 3 5 26 NA 47 93 1 1 1 1 2 4 2 NA
200324 NA 24 41 42 3 1 5 3 5 NA 4 3 5 30 NA 63 107 1 1 2 1 2 4 2 NA
200325 NA 31 53 51 3 1 5 4 8 NA 7 3 5 35 1 76 127 1 1 2 1 2 4 2 NA
200326 NA 41 72 81 7 1 7 4 10 NA 14 3 9 49 1 101 164 1 1 4 1 2 5 2 NA
200327 NA 63 88 103 9 1 9 9 17 NA 15 3 18 62 2 148 208 1 1 4 1 5 5 2 NA
200328 NA 88 112 141 8 1 10 13 21 NA 22 3 21 73 2 196 255 1 1 8 2 6 6 2 NA
200329 NA 99 129 162 10 3 82 13 28 NA 24 3 23 81 3 247 301 4 1 9 3 6 6 2 NA
200330 NA 110 152 186 12 4 82 13 33 NA 26 3 24 96 3 294 341 4 1 9 4 7 6 3 NA
200331 NA 127 187 227 15 4 92 14 40 NA 33 3 25 117 3 341 388 4 1 15 3 11 7 3 NA
200401 NA 158 221 289 18 4 96 16 56 1 35 3 34 142 3 403 447 7 4 19 3 15 7 4 NA
200402 1 206 265 353 22 4 105 20 69 1 45 3 37 152 5 473 498 8 4 27 4 17 7 5 NA
200403 2 249 313 427 30 4 129 25 90 1 54 3 41 166 5 563 566 12 4 30 5 27 7 5 NA
200404 3 289 343 491 33 4 134 33 95 1 73 3 44 180 5 653 640 13 4 34 6 29 8 7 NA
200405 6 319 394 590 39 4 142 36 111 1 112 3 52 199 5 785 693 13 4 40 7 34 11 9 NA
200406 6 343 435 648 40 6 150 37 129 1 138 3 55 214 5 916 793 15 4 41 8 37 11 10 NA
200407 7 370 459 652 41 11 159 41 136 3 151 3 59 236 8 1020 871 15 4 46 8 44 17 10 NA
200408 6 466 571 866 56 11 186 49 164 4 199 5 86 274 9 1310 1088 16 4 62 10 57 20 10 NA
200409 8 505 638 979 66 12 203 54 180 7 233 5 101 299 9 1476 1214 17 4 65 13 60 21 16 NA
200410 10 554 689 1072 76 12 214 64 220 7 289 4 110 319 9 1716 1388 17 4 71 13 66 28 16 NA
200411 11 615 756 1173 82 15 214 66 235 8 341 4 120 351 10 1923 1537 19 4 73 13 72 33 19 NA
200412 13 659 812 1257 90 17 236 74 253 9 368 4 129 371 11 2035 1631 19 4 82 14 75 42 20 NA
200413 15 724 873 1361 94 21 250 83 274 12 417 4 142 386 11 2205 1756 19 6 95 16 93 58 21 NA
200414 17 783 962 1377 99 21 259 85 292 14 441 4 147 403 11 2356 1883 19 5 98 16 96 63 21 NA
200415 17 845 1060 1485 102 22 262 90 310 16 442 4 152 424 11 2516 1933 19 5 99 14 106 76 22 NA
200416 20 896 1160 1516 103 23 283 101 327 18 497 4 161 451 11 2722 2133 19 6 98 14 109 87 25 NA
200417 26 966 1273 1569 109 28 288 127 337 20 525 4 176 475 14 2966 2280 19 9 100 14 116 103 28 NA
200418 33 1005 1378 1664 109 33 308 131 347 20 557 4 195 508 16 3160 2404 24 10 101 16 116 138 31 NA
