Date CurrentHosp AcuteCare IntensiveCare
200324 108 68 40
200325 146 76 70
200326 185 113 72
200327 212 118 94
200328 260 150 110
200329 308 177 131
200330 402 257 145
200401 447 263 184
200402 605 369 236
200403 559 305 254
200404 770 498 272
200405 801 499 302
200406 848 539 309
200407 924 581 343
200408 918 560 358
200409 1000 641 379
200410 1000 633 386
200411 1100 657 414
200412 1100 631 448
200413 1200 718 438
200414 1200 788 431
200415 1200 762 439
200416 1300 800 488
200417 1300 791 498
200418 1300 829 511
200419 1400 907 526
200420 NA NA NA
200421 1433 907 526
200422 1432 905 527
200423 1405 890 515
200424 1425 878 547
200425 1408 870 538
200426 1463 933 530
200427 1513 978 535
200428 1528 977 551
200429 1645 1060 585
200430 1711 1121 590
200501 1668 1100 568
200502 1657 1091 566
200503 1635 1070 565
200504 1649 1086 563
200505 1693 1120 573
200506 1707 1123 584
200507 1683 1099 584
200508 1674 1103 571
200509 1665 1090 575
200510 1640 1029 611
200511 1544 959 585
200512 1563 973 590
200513 1550 978 572
200514 1538 969 569
200515 1496 898 598
200516 1500 902 598
200517 1460 898 562
200518 1447 892 555
200519 1421 884 537
200520 1410 871 539
200521 1374 848 526
200522 1329 823 506
200523 1320 796 524
200524 1290 787 503
200525 1279 762 517
200526 1315 795 520
200527 1338 818 520
200528 1334 823 511
200529 1296 789 507
200530 1239 747 492
200531 1183 704 479
200601 1174 695 479
200602 1148 667 481
200603 1109 638 471
200604 1096 640 456
200505 1076 621 455
200506 1059 641 418
200507 1003 599 404
200506 979 587 392
200609 970 584 386
200610 955 576 379
200611 903 544 358
200612 836 505 331
200613 799 478 321
200614 751 438 313
200615 745 453 292
200616 742 458 284
200617 702 419 283
200618 660 391 269
200619 648 387 261
200620 644 406 238
200621 608 378 230
200622 602 370 232
200623 561 349 212
200624 544 331 213
200625 511 302 209
200626 487 297 190
200627 478 297 181
200628 446 288 158
200629 447 287 160
200630 452 300 152
200701 461 307 154
200702 441 292 149
200703 422 279 143
200704 410 267 143
200705 409 265 144
200706 403 261 142
200707 404 259 145
200708 398 262 136
