Date StaffCases StaffDeaths ResidentCases ResidentDeaths
200429 1550 8 3272 508
200430 1522 8 3261 508
200501 1547 8 3372 546
200502 1489 8 3218 525
200503 1489 8 3218 525
200504 1489 8 3218 525
200505 1489 8 3218 525
200506 1926 11 4342 793
200507 1895 11 4323 793
200508 1895 11 4323 792
200509 1895 11 4323 792
200510 1895 11 4323 792
200511 1895 11 4323 792
200512 1895 11 4323 792
200513 2209 12 5329 983
200514 2209 11 5329 984
200515 2209 11 5329 984
200516 2209 11 5329 984
200517 2209 11 5329 984
200518 2209 11 5329 984
200519 2209 11 5329 984
200520 2519 12 5939 1131
200521 2519 12 5939 1131
200522 2519 12 5939 1131
200523 2519 12 5939 1131
200524 2519 12 5939 1131
200525 2519 12 5939 1131
200526 2519 12 5939 1131
200527 2921 14 6394 1276
200528 2921 14 6402 1276
200529 2929 14 6402 1276
200530 2929 14 6402 1276
