OBJECTID,DATE,Count_
1,2020/03/27 14:00:00+00,25
2,2020/03/28 14:00:00+00,32
3,2020/03/29 14:00:00+00,39
4,2020/03/30 14:00:00+00,43
5,2020/03/31 14:00:00+00,53
6,2020/04/01 14:00:00+00,69
7,2020/04/02 14:00:00+00,81
8,2020/04/03 14:00:00+00,159
9,2020/04/04 14:00:00+00,159
10,2020/04/05 14:00:00+00,159
11,2020/04/06 14:00:00+00,184
12,2020/04/07 14:00:00+00,288
13,2020/04/08 14:00:00+00,365
14,2020/04/09 14:00:00+00,376
15,2020/04/10 14:00:00+00,397
16,2020/04/11 14:00:00+00,431
17,2020/04/12 14:00:00+00,456
18,2020/04/13 14:00:00+00,603
19,2020/04/14 14:00:00+00,607
20,2020/04/15 14:00:00+00,607
21,2020/04/16 14:00:00+00,736
22,2020/04/17 14:00:00+00,736
23,2020/04/18 14:00:00+00,771
24,2020/04/19 14:00:00+00,914
25,2020/04/20 14:00:00+00,917
26,2020/04/21 14:00:00+00,930
27,2020/04/22 14:00:00+00,981
28,2020/04/23 14:00:00+00,1040
29,2020/04/24 14:00:00+00,1108
30,2020/04/25 14:00:00+00,1165
31,2020/04/26 14:00:00+00,1177
32,2020/04/27 14:00:00+00,1263
33,2020/04/28 14:00:00+00,1295
34,2020/04/29 14:00:00+00,1361
35,2020/04/30 14:00:00+00,1432
36,2020/05/01 14:00:00+00,1517
37,2020/05/02 14:00:00+00,1590
38,2020/05/03 14:00:00+00,1666
39,2020/05/04 14:00:00+00,1695
40,2020/05/05 14:00:00+00,1810
41,2020/05/06 14:00:00+00,1903
42,2020/05/07 14:00:00+00,2029
43,2020/05/08 14:00:00+00,2041
44,2020/05/09 14:00:00+00,2159
45,2020/05/10 14:00:00+00,2293
46,2020/05/11 14:00:00+00,2298
47,2020/05/12 14:00:00+00,2394
48,2020/05/13 14:00:00+00,2456
49,2020/05/14 14:00:00+00,2569
50,2020/05/15 14:00:00+00,2685
51,2020/05/16 14:00:00+00,2806
52,2020/05/17 14:00:00+00,2816
53,2020/05/18 14:00:00+00,2817
54,2020/05/19 14:00:00+00,2868
55,2020/05/20 14:00:00+00,2993
56,2020/05/21 14:00:00+00,3099
57,2020/05/22 14:00:00+00,3243
58,2020/05/23 14:00:00+00,3283
59,2020/05/24 14:00:00+00,3319
60,2020/05/25 14:00:00+00,3329
61,2020/05/26 14:00:00+00,3334
62,2020/05/27 14:00:00+00,3401
63,2020/05/28 14:00:00+00,3468
64,2020/05/29 14:00:00+00,3571
65,2020/05/30 14:00:00+00,3649
66,2020/05/31 14:00:00+00,3764
67,2020/06/01 14:00:00+00,3782
68,2020/06/02 14:00:00+00,3855
69,2020/06/03 14:00:00+00,3970
70,2020/06/04 14:00:00+00,3985
71,2020/06/05 14:00:00+00,4159
72,2020/06/06 14:00:00+00,4175
73,2020/06/07 14:00:00+00,4240
74,2020/06/08 14:00:00+00,4240
75,2020/06/09 14:00:00+00,4279
76,2020/06/10 14:00:00+00,4310
77,2020/06/11 14:00:00+00,4365
78,2020/06/12 14:00:00+00,4474
79,2020/06/13 14:00:00+00,4536
80,2020/06/14 14:00:00+00,4541
81,2020/06/15 14:00:00+00,4567
82,2020/06/16 14:00:00+00,4579
83,2020/06/17 14:00:00+00,4596
84,2020/06/18 14:00:00+00,4640
85,2020/06/19 14:00:00+00,4685
86,2020/06/20 14:00:00+00,4745
87,2020/06/21 14:00:00+00,4773
88,2020/06/22 14:00:00+00,4776
89,2020/06/23 14:00:00+00,4797
90,2020/06/24 14:00:00+00,4810
91,2020/06/25 14:00:00+00,4874
92,2020/06/26 14:00:00+00,4903
93,2020/06/27 14:00:00+00,4935
94,2020/06/28 14:00:00+00,4976
95,2020/06/29 14:00:00+00,4979
96,2020/06/30 14:00:00+00,4982
97,2020/07/01 14:00:00+00,5001
98,2020/07/02 14:00:00+00,5013
99,2020/07/03 14:00:00+00,5023
100,2020/07/04 14:00:00+00,5025
101,2020/07/05 14:00:00+00,5029
102,2020/07/06 14:00:00+00,5029
103,2020/07/07 14:00:00+00,5036
104,2020/07/08 14:00:00+00,5085
105,2020/07/09 14:00:00+00,5132
106,2020/07/10 14:00:00+00,5132
107,2020/07/11 14:00:00+00,5190
108,2020/07/12 14:00:00+00,5230
109,2020/07/13 14:00:00+00,5230
110,2020/07/14 14:00:00+00,5238
111,2020/07/15 14:00:00+00,5238
112,2020/07/16 14:00:00+00,5286
113,2020/07/17 14:00:00+00,5286
114,2020/07/18 14:00:00+00,5344
115,2020/07/19 14:00:00+00,5344
116,2020/07/20 14:00:00+00,5344
117,2020/07/21 14:00:00+00,5380
118,2020/07/22 14:00:00+00,5434
119,2020/07/23 14:00:00+00,5434
120,2020/07/24 14:00:00+00,5434
121,2020/07/25 14:00:00+00,5434
122,2020/07/26 14:00:00+00,5434
123,2020/07/27 14:00:00+00,5434
124,2020/07/28 14:00:00+00,5592
125,2020/07/29 14:00:00+00,5592
126,2020/07/30 14:00:00+00,5592
127,2020/07/31 14:00:00+00,5689
128,2020/08/01 14:00:00+00,5713
129,2020/08/02 14:00:00+00,5713
130,2020/08/03 14:00:00+00,5740
131,2020/08/04 14:00:00+00,5740
132,2020/08/05 14:00:00+00,5749
133,2020/08/06 14:00:00+00,5790
134,2020/08/07 14:00:00+00,5838
