OBJECTID,ReportDate,NegativeTests
1,2020/03/23 14:00:00+00,
2,2020/03/24 14:00:00+00,
3,2020/03/25 14:00:00+00,
4,2020/03/26 14:00:00+00,
5,2020/03/27 14:00:00+00,9988
6,2020/03/28 14:00:00+00,11516
7,2020/03/29 14:00:00+00,12354
8,2020/03/30 14:00:00+00,13316
9,2020/03/31 14:00:00+00,14868
10,2020/04/01 14:00:00+00,17233
11,2020/04/02 14:00:00+00,18890
12,2020/04/03 14:00:00+00,20932
13,2020/04/04 14:00:00+00,22485
14,2020/04/05 14:00:00+00,24728
15,2020/04/06 14:00:00+00,25572
16,2020/04/07 14:00:00+00,27256
17,2020/04/08 14:00:00+00,32933
18,2020/04/09 14:00:00+00,35344
19,2020/04/10 14:00:00+00,37480
20,2020/04/11 14:00:00+00,39544
21,2020/04/12 14:00:00+00,41539
22,2020/04/13 14:00:00+00,42815
23,2020/04/14 14:00:00+00,44261
24,2020/04/15 14:00:00+00,45731
25,2020/04/16 14:00:00+00,48059
26,2020/04/17 14:00:00+00,50437
27,2020/04/18 14:00:00+00,53062
28,2020/04/19 14:00:00+00,55061
29,2020/04/20 14:00:00+00,57713
30,2020/04/21 14:00:00+00,59442
31,2020/04/22 14:00:00+00,61745
32,2020/04/23 14:00:00+00,64363
33,2020/04/24 14:00:00+00,68100
34,2020/04/25 14:00:00+00,71357
35,2020/04/26 14:00:00+00,78084
36,2020/04/27 14:00:00+00,85489
37,2020/04/28 14:00:00+00,87672
38,2020/04/29 14:00:00+00,90080
39,2020/04/30 14:00:00+00,92617
40,2020/05/01 14:00:00+00,97511
41,2020/05/02 14:00:00+00,101049
42,2020/05/03 14:00:00+00,107332
43,2020/05/04 14:00:00+00,110587
44,2020/05/05 14:00:00+00,112986
45,2020/05/06 14:00:00+00,115849
46,2020/05/07 14:00:00+00,119226
47,2020/05/08 14:00:00+00,121702
48,2020/05/09 14:00:00+00,124494
49,2020/05/10 14:00:00+00,127344
50,2020/05/11 14:00:00+00,131407
51,2020/05/12 14:00:00+00,135442
52,2020/05/13 14:00:00+00,138762
53,2020/05/14 14:00:00+00,142551
54,2020/05/15 14:00:00+00,145840
55,2020/05/16 14:00:00+00,152207
56,2020/05/17 14:00:00+00,156122
57,2020/05/18 14:00:00+00,161744
58,2020/05/19 14:00:00+00,167112
59,2020/05/20 14:00:00+00,173007
60,2020/05/21 14:00:00+00,176702
61,2020/05/22 14:00:00+00,183478
62,2020/05/23 14:00:00+00,186832
63,2020/05/24 14:00:00+00,194049
64,2020/05/25 14:00:00+00,202425
65,2020/05/26 14:00:00+00,206800
66,2020/05/27 14:00:00+00,213632
67,2020/05/28 14:00:00+00,225149
