OBJECTID,DATE,Count_
1,2020/03/04 15:00:00+00,0
2,2020/03/05 15:00:00+00,3
3,2020/03/06 15:00:00+00,3
4,2020/03/07 15:00:00+00,3
5,2020/03/08 14:00:00+00,5
6,2020/03/09 14:00:00+00,6
7,2020/03/10 14:00:00+00,9
8,2020/03/11 14:00:00+00,12
9,2020/03/12 14:00:00+00,12
10,2020/03/13 14:00:00+00,15
11,2020/03/14 14:00:00+00,26
12,2020/03/15 14:00:00+00,31
13,2020/03/16 14:00:00+00,37
14,2020/03/17 14:00:00+00,57
15,2020/03/18 14:00:00+00,85
16,2020/03/19 14:00:00+00,107
17,2020/03/20 14:00:00+00,149
18,2020/03/21 14:00:00+00,190
19,2020/03/22 14:00:00+00,244
20,2020/03/23 14:00:00+00,288
21,2020/03/24 14:00:00+00,349
22,2020/03/25 14:00:00+00,423
23,2020/03/26 14:00:00+00,580
24,2020/03/27 14:00:00+00,774
25,2020/03/28 14:00:00+00,992
26,2020/03/29 14:00:00+00,1239
27,2020/03/30 14:00:00+00,1413
28,2020/03/31 14:00:00+00,1660
29,2020/04/01 14:00:00+00,1985
30,2020/04/02 14:00:00+00,2331
31,2020/04/03 14:00:00+00,2758
32,2020/04/04 14:00:00+00,3125
33,2020/04/05 14:00:00+00,3609
34,2020/04/06 14:00:00+00,4045
35,2020/04/07 14:00:00+00,4371
36,2020/04/08 14:00:00+00,5529
37,2020/04/09 14:00:00+00,6185
38,2020/04/10 14:00:00+00,6968
39,2020/04/11 14:00:00+00,7694
40,2020/04/12 14:00:00+00,8225
41,2020/04/13 14:00:00+00,8936
42,2020/04/14 14:00:00+00,9472
43,2020/04/15 14:00:00+00,10032
44,2020/04/16 14:00:00+00,10784
45,2020/04/17 14:00:00+00,11572
46,2020/04/18 14:00:00+00,12308
47,2020/04/19 14:00:00+00,12830
48,2020/04/20 14:00:00+00,13684
49,2020/04/21 14:00:00+00,14193
50,2020/04/22 14:00:00+00,14775
51,2020/04/23 14:00:00+00,15737
52,2020/04/24 14:00:00+00,16616
53,2020/04/25 14:00:00+00,17766
54,2020/04/26 14:00:00+00,18581
55,2020/04/27 14:00:00+00,19487
56,2020/04/28 14:00:00+00,20113
57,2020/04/29 14:00:00+00,20849
58,2020/04/30 14:00:00+00,21742
59,2020/05/01 14:00:00+00,23472
60,2020/05/02 14:00:00+00,24473
61,2020/05/03 14:00:00+00,25462
62,2020/05/04 14:00:00+00,26408
63,2020/05/05 14:00:00+00,27117
64,2020/05/06 14:00:00+00,28163
65,2020/05/07 14:00:00+00,29374
66,2020/05/08 14:00:00+00,30485
67,2020/05/09 14:00:00+00,31534
68,2020/05/10 14:00:00+00,32587
69,2020/05/11 14:00:00+00,33373
70,2020/05/12 14:00:00+00,34061
71,2020/05/13 14:00:00+00,34812
72,2020/05/14 14:00:00+00,35903
73,2020/05/15 14:00:00+00,36986
74,2020/05/16 14:00:00+00,37968
75,2020/05/17 14:00:00+00,38804
76,2020/05/18 14:00:00+00,39762
77,2020/05/19 14:00:00+00,41546
78,2020/05/20 14:00:00+00,42323
79,2020/05/21 14:00:00+00,43531
80,2020/05/22 14:00:00+00,44424
81,2020/05/23 14:00:00+00,45495
82,2020/05/24 14:00:00+00,46313
83,2020/05/25 14:00:00+00,47152
84,2020/05/26 14:00:00+00,47687
85,2020/05/27 14:00:00+00,48423
86,2020/05/28 14:00:00+00,49709
87,2020/05/29 14:00:00+00,50988
88,2020/05/30 14:00:00+00,52015
89,2020/05/31 14:00:00+00,52778
90,2020/06/01 14:00:00+00,53327
91,2020/06/02 14:00:00+00,54175
92,2020/06/03 14:00:00+00,54982
93,2020/06/04 14:00:00+00,55858
94,2020/06/05 14:00:00+00,56770
95,2020/06/06 14:00:00+00,57482
96,2020/06/07 14:00:00+00,57973
97,2020/06/08 14:00:00+00,58404
98,2020/06/09 14:00:00+00,58904
99,2020/06/10 14:00:00+00,59465
100,2020/06/11 14:00:00+00,60197
101,2020/06/12 14:00:00+00,60613
102,2020/06/13 14:00:00+00,61305
103,2020/06/14 14:00:00+00,61701
104,2020/06/15 14:00:00+00,62032
105,2020/06/16 14:00:00+00,62409
106,2020/06/17 14:00:00+00,62969
107,2020/06/18 14:00:00+00,63229
108,2020/06/19 14:00:00+00,63548
109,2020/06/20 14:00:00+00,63956
110,2020/06/21 14:00:00+00,64306
111,2020/06/22 14:00:00+00,64603
112,2020/06/23 14:00:00+00,65007
113,2020/06/24 14:00:00+00,65337
114,2020/06/25 14:00:00+00,65777
115,2020/06/26 14:00:00+00,66115
116,2020/06/27 14:00:00+00,66450
117,2020/06/28 14:00:00+00,66777
118,2020/06/29 14:00:00+00,67254
119,2020/06/30 14:00:00+00,67559
120,2020/07/01 14:00:00+00,67918
121,2020/07/02 14:00:00+00,68423
122,2020/07/03 14:00:00+00,68961
123,2020/07/04 14:00:00+00,69341
124,2020/07/05 14:00:00+00,69632
125,2020/07/06 14:00:00+00,69904
126,2020/07/07 14:00:00+00,70396
127,2020/07/08 14:00:00+00,70861
128,2020/07/09 14:00:00+00,71447
129,2020/07/10 14:00:00+00,71910
130,2020/07/11 14:00:00+00,72467
131,2020/07/12 14:00:00+00,73109
132,2020/07/13 14:00:00+00,73527
133,2020/07/14 14:00:00+00,74260
134,2020/07/15 14:00:00+00,75016
135,2020/07/16 14:00:00+00,75664
136,2020/07/17 14:00:00+00,76371
137,2020/07/18 14:00:00+00,77206
138,2020/07/19 14:00:00+00,78131
139,2020/07/20 14:00:00+00,78685
140,2020/07/21 14:00:00+00,79545
141,2020/07/22 14:00:00+00,80172
142,2020/07/23 14:00:00+00,80836
143,2020/07/24 14:00:00+00,81766
144,2020/07/25 14:00:00+00,83054
145,2020/07/26 14:00:00+00,83748
146,2020/07/27 14:00:00+00,84876
147,2020/07/28 14:00:00+00,85524
148,2020/07/29 14:00:00+00,86285
149,2020/07/30 14:00:00+00,87177
150,2020/07/31 14:00:00+00,88346
151,2020/08/01 14:00:00+00,89365
152,2020/08/02 14:00:00+00,90274
153,2020/08/03 14:00:00+00,91144
154,2020/08/04 14:00:00+00,91854
155,2020/08/05 14:00:00+00,92426
156,2020/08/06 14:00:00+00,93005
157,2020/08/07 14:00:00+00,93806
158,2020/08/08 14:00:00+00,94581
159,2020/08/09 14:00:00+00,95503
160,2020/08/10 14:00:00+00,96258
161,2020/08/11 14:00:00+00,96843
162,2020/08/12 14:00:00+00,97384
163,2020/08/13 14:00:00+00,98160
164,2020/08/14 14:00:00+00,98875
165,2020/08/15 14:00:00+00,99693
166,2020/08/16 14:00:00+00,100212
167,2020/08/17 14:00:00+00,100715
168,2020/08/18 14:00:00+00,101235
169,2020/08/19 14:00:00+00,101649
170,2020/08/20 14:00:00+00,102229
171,2020/08/21 14:00:00+00,102899
172,2020/08/22 14:00:00+00,103523
173,2020/08/23 14:00:00+00,104102
174,2020/08/24 14:00:00+00,104669
175,2020/08/25 14:00:00+00,105046
176,2020/08/26 14:00:00+00,105486
177,2020/08/27 14:00:00+00,106063
178,2020/08/28 14:00:00+00,106664
179,2020/08/29 14:00:00+00,107294
