DATE,COUNTY,FACILITY_NAME,"Staff:_Nursing,_Assisted_Living,_Group_Homes_Affected_Facilities","Residents:_Nursing,_Assisted_Living,_Group_Homes_Affected_Facilities",Staff:_State_and_Local_Affected_Facilities,Patients:_State_and_Local_Affected_Facilities,Inmates:_State_and_Local_Affected_Facilities,Youth:_State_and_Local_Affected_Facilities,OBJECTID
4/29/2020,Allegany,Cumberland Healthcare Center,16,73,N/A,N/A,N/A,N/A,0
4/29/2020,Allegany,Green Ridge Youth Center,N/A,N/A,0,N/A,N/A,0,1
4/29/2020,Allegany,North Branch Correctional Institution,N/A,N/A,1,N/A,0,N/A,2
4/29/2020,Allegany,Sterling Care Frostburg Village,1,0,N/A,N/A,N/A,N/A,3
4/29/2020,Allegany,Western Correctional Institution,N/A,N/A,2,N/A,0,N/A,4
4/29/2020,Anne Arundel,Arbor Terrace Waugh Chapel,2,3,N/A,N/A,N/A,N/A,5
4/29/2020,Anne Arundel,Atria Manresa,1,7,N/A,N/A,N/A,N/A,6
4/29/2020,Anne Arundel,Baywoods of Annapolis,4,2,N/A,N/A,N/A,N/A,7
4/29/2020,Anne Arundel,Brightview Senior Living,1,0,N/A,N/A,N/A,N/A,8
4/29/2020,Anne Arundel,Crofton Care and Rehabilitation,6,43,N/A,N/A,N/A,N/A,9
4/29/2020,Anne Arundel,Dorsey Run Correctional Facility,N/A,N/A,22,N/A,7,N/A,10
4/29/2020,Anne Arundel,Fairfield Nursing and Rehabilitation Center,23,26,N/A,N/A,N/A,N/A,11
4/29/2020,Anne Arundel,FutureCare Chesapeake,43,71,N/A,N/A,N/A,N/A,12
4/29/2020,Anne Arundel,Genesis Severna Park,1,3,N/A,N/A,N/A,N/A,13
4/29/2020,Anne Arundel,Genesis Waugh Chapel,12,41,N/A,N/A,N/A,N/A,14
4/29/2020,Anne Arundel,Ginger Cove,13,5,N/A,N/A,N/A,N/A,15
4/29/2020,Anne Arundel,Heritage Harbour Health and Rehabilitation Center,5,20,N/A,N/A,N/A,N/A,16
4/29/2020,Anne Arundel,Inspiration Memory Care Linthicum,7,14,N/A,N/A,N/A,N/A,17
