OBJECTID,ReportDate,WeekStart,WeekEnd,totalrecords,phonenumber,reached,interviewed
1,2020/06/24 14:00:00+00,2020/06/15 14:00:00+00,2020/06/20 14:00:00+00,3798,3027,1921,1692
2,2020/07/01 14:00:00+00,2020/06/21 14:00:00+00,2020/06/27 14:00:00+00,8116,6488,4122,3585
3,2020/07/08 14:00:00+00,2020/06/28 14:00:00+00,2020/07/04 14:00:00+00,12715,10326,6814,5884
4,2020/07/15 14:00:00+00,2020/07/05 14:00:00+00,2020/07/11 14:00:00+00,18325,15044,10265,8806
5,2020/07/22 14:00:00+00,2020/07/12 14:00:00+00,2020/07/18 14:00:00+00,24332,20046,13900,11946
6,2020/07/23 14:00:00+00,2020/07/19 14:00:00+00,2020/07/25 14:00:00+00,32166,27038,18973,16277
7,2020/08/05 14:00:00+00,2020/07/26 14:00:00+00,2020/08/01 14:00:00+00,41088,35131,25052,21351
8,2020/08/12 14:00:00+00,2020/08/02 14:00:00+00,2020/08/08 14:00:00+00,48663,42074,30346,25796
9,2020/08/19 14:00:00+00,2020/08/09 14:00:00+00,2020/08/15 14:00:00+00,55577,48595,35772,30460
10,2020/08/26 14:00:00+00,2020/08/16 14:00:00+00,2020/08/22 14:00:00+00,61498,54284,40521,34677
11,2020/09/02 14:00:00+00,2020/08/23 14:00:00+00,2020/08/29 14:00:00+00,66540,59162,44702,38476
12,2020/09/05 14:00:00+00,2020/08/30 14:00:00+00,2020/09/05 14:00:00+00,72168,64538,49327,42639
13,2020/09/16 14:00:00+00,2020/09/06 14:00:00+00,2020/09/12 14:00:00+00,77522,69698,53740,46609
14,2020/09/23 14:00:00+00,2020/09/13 14:00:00+00,2020/09/19 14:00:00+00,83096,75030,58297,50775
15,2020/09/30 14:00:00+00,2020/09/20 14:00:00+00,2020/09/26 14:00:00+00,87373,79167,61832,53972
16,2020/10/07 14:00:00+00,2020/09/27 14:00:00+00,2020/10/03 14:00:00+00,93402,84996,66793,58493
17,2020/10/14 14:00:00+00,2020/10/04 14:00:00+00,2020/10/10 14:00:00+00,99393,90796,71651,62931
18,2020/10/21 14:00:00+00,2020/10/11 14:00:00+00,2020/10/17 14:00:00+00,105442,96694,76690,67494
19,2020/10/28 14:00:00+00,2020/10/18 14:00:00+00,2020/10/24 14:00:00+00,112465,103481,82486,72775
20,2020/11/04 14:00:00+00,2020/10/25 14:00:00+00,2020/10/31 14:00:00+00,121626,112301,89942,79368
21,2020/11/11 14:00:00+00,2020/11/01 14:00:00+00,2020/11/07 14:00:00+00,132629,122971,97931,85995
