OBJECTID,County,d_6_15_2020,d_6_16_2020,d_6_17_2020,d_6_18_2020,d_6_19_2020,d_6_20_2020,d_6_21_2020,d_6_22_2020,d_6_23_2020,d_6_24_2020,d_6_25_2020,d_6_26_2020,d_6_27_2020,d_6_28_2020,d_6_29_2020,d_6_30_2020,d_7_1_2020,d_7_2_2020,d_7_3_2020,d_7_4_2020,d_7_5_2020,d_7_6_2020,d_7_7_2020,d_7_8_2020,d_7_9_2020,d_7_10_2020,d_7_11_2020,d_7_12_2020,d_7_13_2020,d_7_14_2020,d_7_15_2020,d_7_16_2020,d_7_17_2020,d_7_18_2020,d_7_19_2020,d_7_20_2020,d_7_21_2020,d_7_22_2020,d_7_23_2020,d_7_24_2020,d_7_25_2020,d_7_26_2020,d_7_27_2020,d_7_28_2020,d_7_29_2020,d_7_30_2020,d_7_31_2020,d_8_1_2020,d_8_2_2020,d_8_3_2020,d_8_4_2020,d_8_5_2020,d_8_6_2020,d_8_7_2020,d_8_8_2020,d_8_9_2020,d_8_10_2020,d_8_11_2020,d_8_12_2020,d_8_13_2020,d_8_14_2020,d_8_15_2020,d_8_16_2020,d_8_17_2020,d_8_18_2020,d_8_19_2020,d_8_20_2020,d_8_21_2020,d_8_22_2020,d_8_23_2020,d_8_24_2020,d_8_25_2020,d_8_26_2020,d_8_27_2020,d_8_28_2020,d_8_29_2020,d_8_30_2020,d_8_31_2020,d_9_1_2020,d_9_2_2020,d_9_3_2020,d_9_4_2020,d_9_5_2020,d_9_6_2020,d_9_7_2020,d_9_8_2020,d_9_9_2020,d_9_10_2020,d_9_11_2020,d_9_12_2020,d_9_13_2020,d_9_14_2020,d_9_15_2020,d_9_16_2020,d_9_17_2020,d_9_18_2020,d_9_19_2020,d_9_20_2020,d_9_21_2020,d_9_22_2020,d_9_23_2020,d_9_24_2020,d_9_25_2020,d_9_26_2020,d_9_27_2020,d_9_28_2020,d_9_29_2020,d_9_30_2020,d_10_1_2020,d_10_2_2020,d_10_3_2020,d_10_4_2020,d_10_5_2020,d_10_6_2020,d_10_7_2020,d_10_8_2020,d_10_9_2020,d_10_10_2020,d_10_11_2020,d_10_12_2020,d_10_13_2020,d_10_14_2020,d_10_15_2020,d_10_16_2020,d_10_17_2020,d_10_18_2020,d_10_19_2020,d_10_20_2020,d_10_21_2020,d_10_22_2020,d10_23_2020,d10_24_2020,d10_25_2020,d10_26_2020,d10_27_2020,d10_28_2020,d10_29_2020,d10_30_2020,d10_31_2020,d11_01_2020,d11_02_2020,d11_03_2020,d11_04_2020,d11_05_2020,d11_06_2020,d11_07_2020,d11_08_2020,d11_09_2020,d11_10_2020,d11_11_2020,d11_12_2020,d11_13_2020,d11_14_2020,d11_15_2020,d11_16_2020,d11_17_2020,d11_18_2020,d11_19_2020,d11_20_2020,d11_21_2020,d11_22_2020,d11_23_2020,d11_24_2020,d11_25_2020,d11_26_2020,d11_27_2020,d11_28_2020,d11_29_2020,d11_30_2020,d12_01_2020,d12_02_2020,d12_03_2020,d12_04_2020,d12_05_2020,d12_06_2020,d12_07_2020,d12_09_2020,d12_10_2020,d12_11_2020,d12_12_2020
1,Allegany,4967,5906,5440,5467,5852,6134,6192,6239,6898,7238,7603,7706,7771,7797,7849,7932,7968,8034,8119,8189,8241,8249,8313,8371,8562,8637,8766,8960,9376,9435,9787,10042,10472,10580,10732,10785,10839,11045,11163,11229,11428,11522,11663,11718,11808,12021,12200,12349,12409,12627,12650,12783,12835,12997,13032,13174,13309,13406,13545,13954,14140,14494,14979,15270,15528,15745,15877,16191,16448,16619,16783,16848,17035,17181,17359,17438,17594,17767,17818,17864,18001,18164,18218,18252,18255,18395,18481,18507,18575,18706,18712,19066,19175,19257,19330,19459,19584,19697,19765,19812,19949,19987,20095,20292,20447,20464,20581,20642,20701,20904,21100,21157,21232,21278,21347,21441,21510,21702,21800,21904,21967,22079,22161,22247,22437,22570,22634,22652,22881,22945,23080,23217,23373,23478,23646,23713,23797,24021,24206,24279,24437,24844,25034,25151,25343,25562,25746,26044,26161,26545,26657,27017,27270,27356,28033,28452,28748,29030,29433,30083,30611,30887,31243,31775,31966,32395,32686,33028,33465,33986,34198,34576,35729,35865,36300,36409,37202,37454,37611,38031
2,Anne Arundel,38854,39424,33542,34224,34817,35435,36027,36568,37156,37547,38311,38790,39382,39661,40469,40990,41543,42837,43734,44561,45003,45500,46000,46982,48016,48675,49575,50672,51817,52785,54110,55441,56929,58292,59664,60458,61860,62922,63736,65577,67135,68039,69866,71450,72524,73879,75517,77077,79058,80532,81959,82938,84241,85442,86802,88554,90240,91310,92593,93660,94521,96643,97910,99636,100300,101329,102035,103156,105076,105914,107169,107931,108847,109710,111269,112802,113625,114610,115543,116285,117293,118715,120061,120805,120874,122454,122844,123801,124406,125610,125664,127648,128257,129423,130253,131282,132496,133710,134647,135232,136120,137081,138080,139493,140332,141344,141853,142555,143666,144716,145568,146459,147198,147852,148693,149649,150429,151697,153133,154710,155537,156393,157283,158631,160055,161666,162873,162928,164264,165285,166416,167572,168775,169631,170942,171530,172602,173519,174532,175488,176711,177575,178525,179622,180810,182617,183371,184777,185726,187056,188350,189596,190812,190993,194207,195408,196789,198946,200197,202136,204213,205695,207271,209358,210939,212530,213651,215518,216568,217777,219335,220425,222289,224710,226565,229533,233024,234954,236915,238776
3,Baltimore,76974,77764,64801,65647,66352,67439,68193,68975,69706,70458,71307,72110,72786,73499,74975,75704,76819,77899,79210,80537,81430,82560,83533,84858,86178,87397,88673,90667,91990,93549,95732,97258,99086,100903,103936,105282,93214,109642,111072,113282,117241,119252,121599,123702,125325,127785,129943,132556,134837,137552,138904,140569,142272,144832,146903,149635,152552,153750,155000,157203,159446,162212,164537,166956,168322,169366,171223,173683,175965,178230,180456,181520,182562,184312,186977,189024,191133,192971,193824,194787,196654,198387,199769,200925,201044,203158,203591,204790,206165,207704,207780,210617,211485,212967,214412,215845,217607,219272,220321,193568,221899,223168,224557,225790,227179,228420,229213,230042,231378,232579,233770,235215,236386,237265,238261,240080,241621,242934,244637,245823,246852,247930,249154,250527,252074,253672,255000,255103,257094,258802,260424,262024,263516,264989,265979,266970,268278,269733,271230,272870,274559,275437,277549,279061,280846,282559,283997,285815,286963,288670,290331,291936,293757,294029,297254,298717,300390,303149,305084,307773,310427,312158,313528,315688,317889,320571,322197,323870,325593,327066,328488,330164,332555,335006,337195,339596,343241,345840,311131,350008
4,Baltimore City,57767,58597,50618,51377,52060,53218,54164,54984,55874,56662,57664,58590,59673,60406,61662,62835,63861,65363,66913,68087,68871,69879,70812,71901,73101,74231,75534,77037,78058,79904,81953,83548,85761,87107,89739,91059,106897,98580,95701,97922,100704,102844,105276,106651,108132,109874,111807,114481,116532,118924,120272,121948,123075,124922,126737,129664,132686,133990,135290,136833,138510,140634,142455,144772,145461,146597,147864,149803,151713,153704,155314,155972,156929,158113,160077,161725,163494,165204,165910,166668,167862,169365,171201,172426,172554,174685,175199,176273,177375,178992,179063,181454,182351,183543,184808,186279,188087,189466,190560,218810,192367,193567,194872,196099,197624,198942,199615,200532,201975,203303,204820,206111,207125,207823,208738,210423,211764,213053,214697,215608,216497,217477,218520,219441,221285,222596,223957,223988,225386,226696,228040,229609,231197,232383,233174,234095,235124,236227,237664,239066,240645,241376,242674,243885,245381,247080,248220,249368,250701,252190,253547,254940,256415,256682,259657,260518,261922,264096,265510,269206,271377,273042,274203,276275,278440,280876,281997,283168,284418,285560,287277,288910,291126,293114,295526,297732,301147,303282,342135,307335
5,Calvert,4579,4634,4296,4353,4411,4547,4604,4673,4724,4815,4860,4902,4962,4987,5108,5158,5231,5331,5388,5437,5487,5557,5600,5709,5798,5862,5957,6058,6150,6288,6433,6591,6729,6835,7003,7105,7251,7397,7496,8050,8250,8386,8620,8772,8886,9019,9201,9400,9600,9770,9907,9990,10136,10327,10463,10714,10926,11051,11157,11298,11465,11623,11840,12034,12150,12213,12326,12552,12667,12824,12989,13071,13133,13236,13489,13603,13701,13848,13913,13960,14058,14186,14298,14434,14440,14615,14670,14739,14844,14995,15003,15243,15325,15405,15522,15596,15721,15838,15932,15996,16065,16171,16288,16443,16531,16660,16743,16823,16922,17037,17118,17218,17319,17416,17506,17652,17748,17870,18012,18148,18262,18322,18414,18545,18675,18821,18987,18999,19152,19270,19380,19463,19588,19689,19788,19925,20033,20120,20259,20376,20501,20610,20744,20869,21009,21097,21169,21306,21439,21583,21670,21759,21891,21906,22216,22361,22537,22757,22887,23089,23249,23410,23589,23830,23966,24148,24286,24516,24679,24780,24917,25043,25190,25358,25534,25722,26112,26286,26415,26605
6,Caroline,2517,2572,2292,2337,2374,2400,2430,2458,2481,2524,2579,2621,2663,2688,2747,2777,2803,2857,2923,3019,3079,3118,3134,3162,3228,3260,3342,3371,3395,3530,3577,3706,3788,3874,4012,4082,4193,4235,4293,4428,4625,4747,4842,4955,4981,5105,5210,5357,5427,5508,5534,5597,5657,5689,5714,5803,5900,5938,5954,6041,6078,6185,6264,6332,6364,6400,6460,6593,6688,6727,6817,6901,6925,6952,7015,7115,7202,7268,7286,7304,7366,7416,7533,7584,7589,7695,7705,7747,7730,7832,7835,7926,7979,8007,8043,8095,8204,8247,8278,8308,8360,8400,8455,8535,8600,8649,8673,8691,8723,8766,8838,8875,8909,8938,8967,9050,9083,9160,9226,9245,9261,9291,9378,9418,9521,9639,9672,9678,9717,9816,9871,9949,10031,10080,10109,10133,10228,10287,10381,10443,10484,10503,10522,10576,10629,10679,10735,10771,10807,10847,10904,10981,11037,11043,11154,11208,11254,11341,11405,11544,11628,11678,11746,11823,11958,12098,12125,12195,12304,12380,12422,12462,12584,12675,12765,12898,13059,13161,13287,13385
7,Carroll,12456,12611,11194,11321,11490,11697,11860,12017,12367,12572,12777,12878,13013,13111,13418,13566,13754,13919,14119,14377,14545,14862,15060,15244,15410,15593,15829,16112,16347,16605,16827,17139,17631,17810,18188,18394,18671,19175,19418,19873,20250,20513,20949,21257,21527,21993,22574,23041,23395,23789,24107,24524,24716,25146,25549,26209,26562,26754,26995,27330,27712,28025,28330,28772,29078,29209,29655,30308,30703,30950,31355,31502,31576,31893,32324,32664,33096,33294,33434,33604,33917,34216,34534,34765,34773,35133,35224,35380,35622,36029,36039,36638,36754,36975,37217,37454,37722,38026,38226,38317,38474,38644,38942,39218,39435,39641,39796,39910,40131,40357,40636,40846,41005,41153,41384,41628,41983,42300,42615,42789,42907,43114,43401,43664,43972,44190,44366,44377,44654,44899,45142,45491,45710,45855,46002,46192,46491,46740,47070,47294,47504,47617,47915,48101,48461,48793,49042,49346,49546,49906,50228,50510,50865,50886,51364,51649,52048,52439,52825,53213,53668,53988,54283,54684,55008,55572,55799,56099,56398,56668,57045,57317,57660,58121,58567,58908,59624,59912,60214,60685
8,Cecil,4963,5028,4649,4702,4738,4856,4909,4989,5012,5076,5154,5197,5297,5319,5416,5477,5527,5630,5778,5893,6196,6317,6388,6462,6512,6591,6738,7030,7147,7246,7424,7534,7724,7913,8104,8236,8330,8411,8589,8776,9138,9400,9555,9661,9767,9872,10080,10434,10637,10827,11107,11216,11350,11510,11624,11739,11972,12044,12171,12301,12389,12673,12770,13048,13099,13229,13348,13547,13828,13897,14051,14107,14181,14298,14466,14598,14695,14838,14999,15067,15192,15352,15461,15543,15548,15658,15689,15820,15938,16138,16145,16333,16508,16601,16717,16818,17035,17156,17229,17290,17343,17478,17587,17789,17868,18052,18145,18194,18282,18487,18624,18724,18818,18860,18978,19138,19261,19494,19638,19760,19836,19989,20098,20456,20672,20876,21052,21061,21185,21344,21520,21663,21867,22006,22226,22378,22518,22620,22801,23016,23145,23234,23353,23492,23641,23852,23970,24103,24208,24391,24576,24711,24906,24932,25358,25521,25665,25955,26203,26445,26837,27045,27241,27402,27783,28017,28132,28399,28741,28903,29013,29141,29385,29687,29899,30096,30874,31084,31275,31702
9,Charles,11285,11462,10184,10329,10430,10620,10797,10931,11077,11241,11387,11534,11633,11737,11948,12087,12227,12405,12557,12666,12793,12866,12962,13221,13336,13529,13677,13894,13997,14252,14497,14732,15058,15211,15393,15523,15785,16206,16472,17032,17513,17701,18168,18520,18790,19169,19506,19816,20151,20465,20776,21049,21298,21608,21895,22377,22767,23032,23381,23742,24204,24678,25070,25432,25715,25935,26182,26489,26809,27066,27375,27582,27747,27942,28198,28513,28802,29073,29262,29416,29664,29900,30147,30290,30311,30647,30775,30929,31106,31252,31268,31758,31906,32125,32379,32553,32815,33016,33202,33376,33586,33837,34052,34283,34476,34678,34850,35064,35285,35488,35653,35832,36018,36189,36410,36697,36900,37136,37399,37576,37697,37906,38140,38326,38581,38807,39014,39026,39327,39597,39826,40003,40264,40439,40644,40911,41156,41324,41526,41750,41938,42051,42295,42501,42798,43002,43209,43484,43731,44041,44250,44455,44815,44862,45317,45592,45912,46340,46672,46943,47446,47778,48043,48507,48701,49041,49228,49656,49916,50197,50533,50712,51134,51581,51909,52196,53037,53432,53721,54117
10,Dorchester,3345,3394,3182,3211,3259,3326,3411,3446,3473,3488,3530,3622,3768,3834,3881,3918,3928,4036,4142,4204,4379,4391,4412,4431,4471,4616,4717,5015,5097,5160,5170,5316,5370,5490,5599,5639,5675,5798,5878,6122,6245,6460,6505,6542,6557,6666,6847,7011,7080,7109,7129,7153,7337,7417,7551,7600,7684,7747,7762,7984,8010,8147,8241,8298,8325,8339,8462,8599,8642,8664,8755,8800,8837,8951,9043,9183,9262,9301,9316,9312,9404,9476,9619,9641,9643,9728,9741,9774,9804,9850,9863,10011,10120,10141,10223,10276,10396,10438,10484,10505,10520,10579,10689,10815,10868,10904,10910,10909,10970,11117,11179,11236,11282,11294,11320,11409,11503,11630,11730,11749,11762,11775,11821,11919,12071,12211,12266,12282,12382,12521,12555,12728,12779,12808,12800,12815,12976,13029,13112,13208,13267,13258,13273,13301,13407,13507,13645,13673,13703,13688,13762,13881,13907,13912,14014,14085,14132,14203,14267,14418,14543,14614,14651,14609,14793,14855,14890,14918,14997,15026,15052,15101,15152,15262,15461,15523,15560,15736,15786,15921
