OBJECTID,DATE,Count_
1,2020/03/18 14:00:00+00,1
2,2020/03/19 14:00:00+00,1
3,2020/03/20 14:00:00+00,2
4,2020/03/21 14:00:00+00,2
5,2020/03/22 14:00:00+00,3
6,2020/03/23 14:00:00+00,3
7,2020/03/24 14:00:00+00,3
8,2020/03/25 14:00:00+00,4
9,2020/03/26 14:00:00+00,4
10,2020/03/27 14:00:00+00,5
11,2020/03/28 14:00:00+00,5
12,2020/03/29 14:00:00+00,10
13,2020/03/30 14:00:00+00,15
14,2020/03/31 14:00:00+00,18
15,2020/04/01 14:00:00+00,31
16,2020/04/02 14:00:00+00,36
17,2020/04/03 14:00:00+00,42
18,2020/04/04 14:00:00+00,53
19,2020/04/05 14:00:00+00,67
20,2020/04/06 14:00:00+00,91
21,2020/04/07 14:00:00+00,103
22,2020/04/08 14:00:00+00,124
23,2020/04/09 14:00:00+00,138
24,2020/04/10 14:00:00+00,171
25,2020/04/11 14:00:00+00,206
26,2020/04/12 14:00:00+00,235
27,2020/04/13 14:00:00+00,262
28,2020/04/14 14:00:00+00,302
29,2020/04/15 14:00:00+00,349
30,2020/04/16 14:00:00+00,392
31,2020/04/17 14:00:00+00,425
32,2020/04/18 14:00:00+00,463
33,2020/04/19 14:00:00+00,486
34,2020/04/20 14:00:00+00,516
35,2020/04/21 14:00:00+00,584
36,2020/04/22 14:00:00+00,631
37,2020/04/23 14:00:00+00,680
38,2020/04/24 14:00:00+00,723
39,2020/04/25 14:00:00+00,797
40,2020/04/26 14:00:00+00,827
41,2020/04/27 14:00:00+00,858
42,2020/04/28 14:00:00+00,929
43,2020/04/29 14:00:00+00,985
44,2020/04/30 14:00:00+00,1047
45,2020/05/01 14:00:00+00,1098
46,2020/05/02 14:00:00+00,1156
47,2020/05/03 14:00:00+00,1182
48,2020/05/04 14:00:00+00,1216
49,2020/05/05 14:00:00+00,1290
50,2020/05/06 14:00:00+00,1338
51,2020/05/07 14:00:00+00,1401
52,2020/05/08 14:00:00+00,1453
53,2020/05/09 14:00:00+00,1510
54,2020/05/10 14:00:00+00,1538
55,2020/05/11 14:00:00+00,1573
56,2020/05/12 14:00:00+00,1643
57,2020/05/13 14:00:00+00,1694
58,2020/05/14 14:00:00+00,1748
59,2020/05/15 14:00:00+00,1792
60,2020/05/16 14:00:00+00,1842
61,2020/05/17 14:00:00+00,1876
62,2020/05/18 14:00:00+00,1903
63,2020/05/19 14:00:00+00,1963
64,2020/05/20 14:00:00+00,2004
65,2020/05/21 14:00:00+00,2045
66,2020/05/22 14:00:00+00,2092
67,2020/05/23 14:00:00+00,2130
68,2020/05/24 14:00:00+00,2162
69,2020/05/25 14:00:00+00,2187
70,2020/05/26 14:00:00+00,2217
71,2020/05/27 14:00:00+00,2270
72,2020/05/28 14:00:00+00,2307
73,2020/05/29 14:00:00+00,2348
74,2020/05/30 14:00:00+00,2390
