OBJECTID,DATE,Male,Female,Unknown
1,2020/03/12 14:00:00+00,6,6,
2,2020/03/13 14:00:00+00,9,6,
3,2020/03/14 14:00:00+00,16,10,
4,2020/03/15 14:00:00+00,,,
5,2020/03/16 14:00:00+00,21,16,
6,2020/03/17 14:00:00+00,,,
7,2020/03/18 14:00:00+00,49,36,
8,2020/03/19 14:00:00+00,59,48,
9,2020/03/20 14:00:00+00,80,69,
10,2020/03/21 14:00:00+00,84,106,
11,2020/03/22 14:00:00+00,129,116,
12,2020/03/23 14:00:00+00,149,140,
13,2020/03/24 14:00:00+00,178,171,
14,2020/03/25 14:00:00+00,212,211,
15,2020/03/26 14:00:00+00,298,282,
16,2020/03/27 14:00:00+00,392,382,
17,2020/03/28 14:00:00+00,487,505,
18,2020/03/29 14:00:00+00,605,634,
19,2020/03/30 14:00:00+00,697,716,
20,2020/03/31 14:00:00+00,804,856,
21,2020/04/01 14:00:00+00,969,1016,
22,2020/04/02 14:00:00+00,1137,1194,
23,2020/04/03 14:00:00+00,1323,1435,
24,2020/04/04 14:00:00+00,1485,1640,
25,2020/04/05 14:00:00+00,1694,1915,
26,2020/04/06 14:00:00+00,1890,2155,
27,2020/04/07 14:00:00+00,2042,2329,
28,2020/04/08 14:00:00+00,2574,2955,
29,2020/04/09 14:00:00+00,2865,3320,
30,2020/04/10 14:00:00+00,3215,3753,
31,2020/04/11 14:00:00+00,3554,4140,
32,2020/04/12 14:00:00+00,3787,4438,
33,2020/04/13 14:00:00+00,4105,4831,
34,2020/04/14 14:00:00+00,4340,5132,
35,2020/04/15 14:00:00+00,4593,5439,
36,2020/04/16 14:00:00+00,4967,5817,
37,2020/04/17 14:00:00+00,5323,6249,0
38,2020/04/18 14:00:00+00,5656,6652,0
39,2020/04/19 14:00:00+00,5907,6923,0
40,2020/04/20 14:00:00+00,6310,7374,0
41,2020/04/21 14:00:00+00,6570,7623,0
42,2020/04/22 14:00:00+00,6821,7954,0
43,2020/04/23 14:00:00+00,7290,8447,0
44,2020/04/24 14:00:00+00,7742,8874,0
45,2020/04/25 14:00:00+00,8268,9498,0
46,2020/04/26 14:00:00+00,8618,9963,0
47,2020/04/27 14:00:00+00,9027,10460,0
48,2020/04/28 14:00:00+00,9363,10750,0
49,2020/04/29 14:00:00+00,9719,11130,0
50,2020/04/30 14:00:00+00,10147,11595,0
51,2020/05/01 14:00:00+00,10972,12500,0
52,2020/05/02 14:00:00+00,11468,13005,0
53,2020/05/03 14:00:00+00,11969,13493,0
54,2020/05/04 14:00:00+00,12472,13936,0
55,2020/05/05 14:00:00+00,12801,14316,0
56,2020/05/06 14:00:00+00,13315,14848,0
57,2020/05/07 14:00:00+00,13902,15472,0
58,2020/05/08 14:00:00+00,14447,16038,0
59,2020/05/09 14:00:00+00,14974,16560,0
60,2020/05/10 14:00:00+00,15486,17101,0
61,2020/05/11 14:00:00+00,15868,17505,0
62,2020/05/12 14:00:00+00,16209,17852,0
63,2020/05/13 14:00:00+00,16600,18212,0
64,2020/05/14 14:00:00+00,17123,18780,0
65,2020/05/15 14:00:00+00,17674,19312,0
66,2020/05/16 14:00:00+00,18168,19800,0
67,2020/05/17 14:00:00+00,18593,20211,0
68,2020/05/18 14:00:00+00,19056,20706,0
69,2020/05/19 14:00:00+00,19860,21686,0
70,2020/05/20 14:00:00+00,20225,22098,0
71,2020/05/21 14:00:00+00,20843,22688,0
72,2020/05/22 14:00:00+00,21283,23141,0
73,2020/05/23 14:00:00+00,21818,23677,0
74,2020/05/24 14:00:00+00,22238,24075,0
75,2020/05/25 14:00:00+00,22604,24548,0
76,2020/05/26 14:00:00+00,22871,24816,0
77,2020/05/27 14:00:00+00,23217,25206,0
78,2020/05/28 14:00:00+00,23860,25849,0
79,2020/05/29 14:00:00+00,24461,26527,0
80,2020/05/30 14:00:00+00,24924,27091,0
81,2020/05/31 14:00:00+00,25272,27506,0
82,2020/06/01 14:00:00+00,25522,27805,0
83,2020/06/02 14:00:00+00,25950,28225,0
84,2020/06/03 14:00:00+00,26328,28654,0
85,2020/06/04 14:00:00+00,26762,29096,0
86,2020/06/05 14:00:00+00,27197,29573,0
87,2020/06/06 14:00:00+00,27533,29949,0
88,2020/06/07 14:00:00+00,27758,30215,0
89,2020/06/08 14:00:00+00,27969,30435,0
90,2020/06/09 14:00:00+00,28237,30667,0
91,2020/06/10 14:00:00+00,28502,30963,0
92,2020/06/11 14:00:00+00,28875,31322,0
93,2020/06/12 14:00:00+00,29082,31531,0
94,2020/06/13 14:00:00+00,29435,31870,0
95,2020/06/14 14:00:00+00,29619,32082,0
96,2020/06/15 14:00:00+00,29791,32241,0
97,2020/06/16 14:00:00+00,29994,32415,0
98,2020/06/17 14:00:00+00,30254,32715,0
99,2020/06/18 14:00:00+00,30380,32849,0
100,2020/06/19 14:00:00+00,30531,33017,0
101,2020/06/20 14:00:00+00,30722,33234,0
102,2020/06/21 14:00:00+00,30888,33418,0
103,2020/06/22 14:00:00+00,31023,33580,0
104,2020/06/23 14:00:00+00,31238,33769,0
105,2020/06/24 14:00:00+00,31406,33931,0
106,2020/06/25 14:00:00+00,31635,34142,0
107,2020/06/26 14:00:00+00,31792,34323,0
108,2020/06/27 14:00:00+00,31965,34485,0
109,2020/06/28 14:00:00+00,32128,34649,0
110,2020/06/29 14:00:00+00,32385,34869,0
111,2020/06/30 14:00:00+00,32547,35012,0
112,2020/07/01 14:00:00+00,32711,35207,0
113,2020/07/02 14:00:00+00,32956,35467,0
114,2020/07/03 14:00:00+00,33223,35738,0
115,2020/07/04 14:00:00+00,33416,35925,0
116,2020/07/05 14:00:00+00,33555,36077,0
117,2020/07/06 14:00:00+00,33677,36227,0
118,2020/07/07 14:00:00+00,33893,36503,0
119,2020/07/08 14:00:00+00,34098,36763,0
120,2020/07/09 14:00:00+00,34370,37077,0
121,2020/07/10 14:00:00+00,34586,37324,0
122,2020/07/11 14:00:00+00,34830,37637,0
123,2020/07/12 14:00:00+00,35104,38005,0
124,2020/07/13 14:00:00+00,35296,38231,0
125,2020/07/14 14:00:00+00,35620,38640,0
126,2020/07/15 14:00:00+00,35936,39080,0
127,2020/07/16 14:00:00+00,36227,39437,0
128,2020/07/17 14:00:00+00,36546,39825,0
129,2020/07/18 14:00:00+00,36944,40262,0
130,2020/07/19 14:00:00+00,37367,40764,0
131,2020/07/20 14:00:00+00,37613,41072,0
132,2020/07/21 14:00:00+00,38024,41521,0
133,2020/07/22 14:00:00+00,38273,41899,0
134,2020/07/23 14:00:00+00,38595,42241,0
135,2020/07/24 14:00:00+00,39022,42744,0
136,2020/07/25 14:00:00+00,39615,43439,0
137,2020/07/26 14:00:00+00,39913,43835,0
138,2020/07/27 14:00:00+00,40389,44487,0
139,2020/07/28 14:00:00+00,40686,44838,0
140,2020/07/29 14:00:00+00,41035,45250,0
141,2020/07/30 14:00:00+00,41424,45753,0
142,2020/07/31 14:00:00+00,41937,46409,0
143,2020/08/01 14:00:00+00,42389,46976,0
144,2020/08/02 14:00:00+00,42810,47464,0
145,2020/08/03 14:00:00+00,43237,47907,0
146,2020/08/04 14:00:00+00,43557,48297,0
147,2020/08/05 14:00:00+00,43807,48619,0
148,2020/08/06 14:00:00+00,44074,48931,0
149,2020/08/07 14:00:00+00,44420,49386,0
150,2020/08/08 14:00:00+00,44748,49833,0
151,2020/08/09 14:00:00+00,45160,50343,0
152,2020/08/10 14:00:00+00,45519,50739,0
153,2020/08/11 14:00:00+00,45795,51048,0
154,2020/08/12 14:00:00+00,46047,51337,0
155,2020/08/13 14:00:00+00,46410,51750,0
156,2020/08/14 14:00:00+00,46756,52119,0
157,2020/08/15 14:00:00+00,47105,52588,0
158,2020/08/16 14:00:00+00,47338,52874,0
159,2020/08/17 14:00:00+00,47543,53172,0
160,2020/08/18 14:00:00+00,47783,53452,0
161,2020/08/19 14:00:00+00,47983,53666,0
162,2020/08/20 14:00:00+00,48253,53976,0
163,2020/08/21 14:00:00+00,48564,54335,0
164,2020/08/22 14:00:00+00,48837,54686,0
165,2020/08/23 14:00:00+00,49100,55002,0
166,2020/08/24 14:00:00+00,49383,55286,0
167,2020/08/25 14:00:00+00,49559,55487,0
168,2020/08/26 14:00:00+00,49756,55730,0
169,2020/08/27 14:00:00+00,50020,56043,0
170,2020/08/28 14:00:00+00,50296,56368,0
171,2020/08/29 14:00:00+00,50598,56696,0
172,2020/08/30 14:00:00+00,50812,56979,0
173,2020/08/31 14:00:00+00,51012,57237,0
174,2020/09/01 14:00:00+00,51284,57579,0
175,2020/09/02 14:00:00+00,51509,57810,0
176,2020/09/03 14:00:00+00,51827,58185,0
177,2020/09/04 14:00:00+00,52194,58637,0
178,2020/09/05 14:00:00+00,52550,59057,0
179,2020/09/06 14:00:00+00,52770,59349,0
180,2020/09/07 14:00:00+00,53127,59756,0
181,2020/09/08 14:00:00+00,53327,59912,0
182,2020/09/09 14:00:00+00,53485,60090,0
183,2020/09/10 14:00:00+00,53719,60359,0
184,2020/09/11 14:00:00+00,54036,60688,0
185,2020/09/12 14:00:00+00,54436,61097,0
186,2020/09/13 14:00:00+00,54725,61385,0
187,2020/09/14 14:00:00+00,54989,61657,0
188,2020/09/15 14:00:00+00,55280,61965,0
189,2020/09/16 14:00:00+00,55598,62290,0
190,2020/09/17 14:00:00+00,55863,62656,0
191,2020/09/18 14:00:00+00,56109,62953,0
192,2020/09/19 14:00:00+00,56442,63302,0
193,2020/09/20 14:00:00+00,56622,63534,0
194,2020/09/21 14:00:00+00,56833,63735,0
195,2020/09/22 14:00:00+00,57011,63901,0
196,2020/09/23 14:00:00+00,57197,64100,0
197,2020/09/24 14:00:00+00,57445,64355,0
198,2020/09/25 14:00:00+00,57702,64657,0
199,2020/09/26 14:00:00+00,58007,64965,0
200,2020/09/27 14:00:00+00,58211,65192,0
201,2020/09/28 14:00:00+00,58447,65433,0
202,2020/09/29 14:00:00+00,58649,65662,0
203,2020/09/30 14:00:00+00,58832,65893,0
204,2020/10/01 14:00:00+00,59281,66229,0
205,2020/10/02 14:00:00+00,59637,66585,0
206,2020/10/03 14:00:00+00,59915,66904,0
207,2020/10/04 14:00:00+00,60116,67174,0
208,2020/10/05 14:00:00+00,60370,67421,0
209,2020/10/06 14:00:00+00,60592,67612,0
210,2020/10/07 14:00:00+00,60821,67843,0
211,2020/10/08 14:00:00+00,61196,68229,0
212,2020/10/09 14:00:00+00,61537,68622,0
213,2020/10/10 14:00:00+00,61838,68957,0
214,2020/10/11 14:00:00+00,62085,69272,0
215,2020/10/12 14:00:00+00,62326,69535,0
216,2020/10/13 14:00:00+00,62570,69773,0
217,2020/10/14 14:00:00+00,62842,70076,0
218,2020/10/15 14:00:00+00,63141,70407,0
219,2020/10/16 14:00:00+00,63544,70785,0
220,2020/10/17 14:00:00+00,63941,71186,0
221,2020/10/18 14:00:00+00,64180,71477,0
222,2020/10/19 14:00:00+00,64394,71760,0
223,2020/10/20 14:00:00+00,64674,72070,0
224,2020/10/21 14:00:00+00,64909,72327,0
225,2020/10/22 14:00:00+00,65280,72699,0
226,2020/10/23 14:00:00+00,65630,73061,0
227,2020/10/24 14:00:00+00,66030,73457,0
228,2020/10/25 14:00:00+00,66397,73882,0
229,2020/10/26 14:00:00+00,66661,74183,0
230,2020/10/27 14:00:00+00,67125,74616,0
231,2020/10/28 14:00:00+00,67450,74975,0
232,2020/10/29 14:00:00+00,67904,75483,0
233,2020/10/30 14:00:00+00,68330,75984,0
234,2020/10/31 14:00:00+00,68804,76477,0
235,2020/11/01 15:00:00+00,69220,76925,0
236,2020/11/02 15:00:00+00,69605,77390,0
