OBJECTID,DATE,Acute,ICU,Total
1,2020/03/26 14:00:00+00,68,40,108
2,2020/03/27 14:00:00+00,76,70,146
3,2020/03/28 14:00:00+00,113,72,185
4,2020/03/29 14:00:00+00,118,94,212
5,2020/03/30 14:00:00+00,150,110,260
6,2020/03/31 14:00:00+00,177,131,308
7,2020/04/01 14:00:00+00,257,145,402
8,2020/04/02 14:00:00+00,,,
9,2020/04/03 14:00:00+00,263,184,447
10,2020/04/04 14:00:00+00,369,236,605
11,2020/04/05 14:00:00+00,305,254,559
12,2020/04/06 14:00:00+00,498,272,770
13,2020/04/07 14:00:00+00,499,302,801
14,2020/04/08 14:00:00+00,539,309,848
15,2020/04/09 14:00:00+00,581,343,924
16,2020/04/10 14:00:00+00,560,358,918
17,2020/04/11 14:00:00+00,641,379,1020
18,2020/04/12 14:00:00+00,633,386,1019
19,2020/04/13 14:00:00+00,657,414,1071
20,2020/04/14 14:00:00+00,631,448,1079
21,2020/04/15 14:00:00+00,718,438,1156
22,2020/04/16 14:00:00+00,788,431,1219
23,2020/04/17 14:00:00+00,762,439,1201
24,2020/04/18 14:00:00+00,800,488,1288
25,2020/04/19 14:00:00+00,791,498,1289
26,2020/04/20 14:00:00+00,829,511,1340
27,2020/04/21 14:00:00+00,907,526,1433
28,2020/04/22 14:00:00+00,905,527,1432
29,2020/04/23 14:00:00+00,890,515,1405
30,2020/04/24 14:00:00+00,878,547,1425
31,2020/04/25 14:00:00+00,870,538,1408
32,2020/04/26 14:00:00+00,933,530,1463
33,2020/04/27 14:00:00+00,978,534,1513
34,2020/04/28 14:00:00+00,977,551,1528
35,2020/04/29 14:00:00+00,1060,585,1645
36,2020/04/30 14:00:00+00,1121,590,1711
37,2020/05/01 14:00:00+00,1100,568,1668
38,2020/05/02 14:00:00+00,1091,566,1657
39,2020/05/03 14:00:00+00,1070,565,1635
40,2020/05/04 14:00:00+00,1086,563,1649
41,2020/05/05 14:00:00+00,1120,573,1693
