Date AfricanAmerican Asian White Hispanic Other DataNotAvailable DAfricanAmerican DAsian DWhite DHispanic DOther DDataNotAvailable PDAfricanAmerican PDAsian PDWhite PDHispanic PDOther PDDataNotAvailable
200409 2064 122 1540 NA 449 1354 55 6 39 NA 3 21 NA NA NA NA NA NA
200410 2304 136 1694 NA 544 1507 61 6 45 NA 5 21 NA NA NA NA NA NA
200411 2599 153 1883 NA 643 1690 77 6 58 NA 7 23 NA NA NA NA NA NA
200412 2988 177 2145 NA 806 1578 91 7 72 NA 9 27 NA NA NA NA NA NA
200413 3202 190 2305 NA 861 1667 104 8 83 NA 12 28 NA NA NA NA NA NA
200414 3512 211 2547 NA 961 1705 120 10 93 NA 15 24 NA NA NA NA NA NA
200415 3724 230 2425 1075 357 2221 139 10 109 13 7 71 13 1 34 1 1 14
200416 3978 239 2535 1180 376 2476 153 11 126 15 8 79 13 1 39 NA 1 13
200417 4301 252 2681 1357 429 2552 166 13 137 17 12 80 16 1 40 NA 1 NA
200418 4557 266 2869 1489 458 2669 183 15 148 20 14 83 18 1 40 NA 1 11
200419 4855 276 3037 1639 505 2518 196 15 159 21 14 81 16 1 34 NA NA 11
200420 5064 284 3156 1744 519 2917 207 22 181 26 16 64 17 1 37 NA NA 11
200421 5322 296 3327 1916 552 2780 218 21 201 32 17 95 17 1 37 NA NA 13
200422 5540 304 3476 2033 571 2851 289 21 234 69 10 8 19 1 38 NA NA 9
200423 5800 322 3662 2130 588 3235 289 21 258 72 10 30 21 2 39 NA NA 6
200424 6048 339 3830 2373 616 3412 289 25 275 40 17 77 22 2 42 NA NA 9
200425 6314 344 4020 2574 657 3857 301 29 296 44 10 117 23 2 44 NA NA 9
200426 6742 363 4276 2841 707 3652 305 30 301 46 11 134 24 2 44 NA NA 13
200427 7085 384 4498 3077 752 3691 353 33 328 56 16 72 25 2 44 1 NA 15
200428 7432 424 4708 3309 721 3519 365 36 362 58 15 93 25 2 46 2 NA 12
200429 7615 434 4808 3473 747 3772 404 36 390 64 17 74 27 3 49 3 NA 11
200430 7821 459 4935 3651 793 4083 431 37 420 67 17 75 30 3 49 3 NA 8
200501 8093 475 5147 3884 840 5033 436 38 436 69 16 103 30 3 51 3 NA 7
200502 8470 502 5385 4258 876 4982 482 39 468 70 18 79 31 3 51 3 NA 7
200503 8871 530 5698 4625 989 4749 500 39 486 78 18 61 31 3 52 4 NA 9
200504 9147 547 5873 4892 1040 4909 503 41 503 81 18 70 33 3 53 4 NA 9
200505 9424 565 6129 5144 937 4918 521 44 537 83 19 86 35 3 51 5 NA 6
